ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
UKR,Ukraine,Climate Watch,Total including LUCF,All GHG,MtCO₂e,222.06,223.0,231.48,242.33,230.83,256.93,243.23,292.4,326.34,330.79,337.99,311.65,292.18,346.91,357.94,348.82,341.37,354.48,380.79,356.04,351.49,326.02,336.96,343.79,371.53,395.25,456.11,479.51,569.11,652.4,738.65,783.4
MMR,Myanmar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,211.92,222.17,212.8,212.43,233.05,218.52,225.87,219.69,212.04,209.68,200.61,231.23,225.73,214.82,229.79,218.56,214.67,224.79,210.5,196.51,196.83,217.72,220.83,215.7,209.38,211.71,215.91,212.78,210.14,207.47,204.73,205.32
ETH,Ethiopia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,192.07,197.58,191.35,179.64,176.59,173.97,167.63,164.22,158.13,153.79,148.12,147.88,142.88,138.98,135.29,124.97,120.0,116.43,114.14,115.7,107.54,100.3,104.0,103.17,97.44,93.44,90.64,89.81,88.61,94.23,93.34,93.22
UZB,Uzbekistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,189.03,177.76,181.04,174.75,168.93,163.64,154.93,159.9,167.43,168.65,183.66,172.11,160.49,173.36,164.15,168.94,158.28,163.63,160.08,168.04,161.69,169.79,162.52,162.44,145.8,141.83,140.59,151.37,154.93,152.39,162.4,161.57
TKM,Turkmenistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,188.53,184.37,206.71,189.51,186.85,189.05,193.81,187.96,190.95,183.2,174.92,145.52,130.61,170.69,163.6,151.01,150.33,146.08,138.17,122.36,114.77,112.73,89.73,71.39,69.58,83.8,86.79,85.96,104.31,94.69,136.65,145.22
PER,Peru,Climate Watch,Total including LUCF,All GHG,MtCO₂e,185.94,179.63,190.15,186.94,186.6,189.08,185.66,184.05,180.07,178.06,178.18,150.19,145.58,141.49,136.66,132.66,133.36,131.65,127.69,127.73,125.79,122.69,122.1,117.91,117.07,116.13,112.44,107.53,105.17,104.08,103.41,104.55
NLD,Netherlands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,166.28,162.07,178.84,184.49,190.3,194.34,193.61,184.89,192.33,193.54,195.27,208.16,197.53,202.53,205.23,205.84,210.54,216.21,214.53,214.66,215.0,214.23,216.25,228.37,228.18,236.29,225.49,222.65,222.48,218.13,218.74,213.78
TZA,Tanzania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,165.24,160.87,160.65,156.0,156.96,157.01,144.41,136.99,136.48,135.77,131.01,128.96,125.25,123.52,120.48,118.37,124.39,117.39,118.37,109.68,103.29,97.9,100.47,100.35,96.14,96.49,104.11,99.92,99.18,98.57,98.47,98.2
KWT,Kuwait,Climate Watch,Total including LUCF,All GHG,MtCO₂e,148.22,139.73,140.2,137.65,133.24,134.31,128.49,124.12,124.96,120.58,115.92,110.0,105.77,105.9,98.92,100.96,97.21,87.92,82.55,76.95,75.27,72.28,66.31,63.74,59.07,56.38,56.5,56.88,48.98,33.66,10.76,40.47
BOL,Bolivia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,136.84,131.45,139.1,126.33,125.92,127.8,116.92,113.25,113.1,113.54,113.18,128.67,102.12,104.08,110.65,104.45,102.74,108.82,93.39,97.35,90.61,110.37,120.04,114.33,114.4,111.92,112.6,114.15,115.07,116.37,115.56,114.41
SDN,Sudan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,128.82,126.78,127.23,127.25,126.54,126.78,124.02,120.65,119.77,118.97,117.13,114.73,116.73,115.19,114.98,109.4,110.28,105.26,102.11,100.0,94.82,106.28,105.89,101.76,94.98,87.3,81.93,80.79,76.11,74.16,70.5,69.64
CMR,Cameroon,Climate Watch,Total including LUCF,All GHG,MtCO₂e,126.69,127.95,126.58,125.68,124.55,125.17,123.36,121.5,120.61,118.82,118.53,126.76,126.33,126.62,126.31,125.72,128.39,125.87,128.9,125.8,125.96,140.41,138.87,140.03,136.08,135.3,133.78,134.05,81.09,83.75,84.13,75.52
AGO,Angola,Climate Watch,Total including LUCF,All GHG,MtCO₂e,124.91,122.22,135.23,125.92,140.92,140.66,144.38,138.97,138.74,136.76,136.84,136.95,131.31,127.92,123.75,118.39,122.4,121.29,117.58,111.0,108.91,82.21,88.38,90.77,81.34,82.21,80.44,77.19,74.32,71.52,70.65,70.19
QAT,Qatar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,120.31,118.61,122.21,118.31,119.75,118.38,116.05,113.08,108.21,106.1,96.96,86.13,75.74,73.71,68.18,60.27,53.65,51.98,48.11,44.19,40.26,40.59,39.65,36.16,34.66,27.58,24.89,24.05,21.57,18.84,19.45,16.42
TCD,Chad,Climate Watch,Total including LUCF,All GHG,MtCO₂e,118.84,115.6,110.08,107.29,102.76,100.85,98.31,93.69,91.19,89.69,85.42,73.76,69.96,69.86,69.72,67.28,65.7,62.04,58.81,55.2,51.02,46.76,46.67,44.84,40.23,38.56,34.74,33.72,32.71,31.76,30.88,24.46
ZWE,Zimbabwe,Climate Watch,Total including LUCF,All GHG,MtCO₂e,115.04,113.33,116.07,117.17,115.43,115.72,42.19,40.35,42.21,42.68,46.31,39.66,36.74,36.02,37.84,37.28,38.35,37.69,37.49,39.84,43.1,41.46,44.46,42.12,40.83,41.71,39.74,39.92,40.2,43.75,42.92,42.64
MOZ,Mozambique,Climate Watch,Total including LUCF,All GHG,MtCO₂e,109.24,106.13,108.98,114.75,110.91,111.9,101.05,103.19,103.22,101.26,95.47,104.51,94.67,99.75,96.34,95.89,96.9,92.61,92.36,87.07,90.86,68.88,71.07,72.24,69.18,71.45,87.6,87.36,87.09,86.35,85.67,85.38
LBY,Libya,Climate Watch,Total including LUCF,All GHG,MtCO₂e,108.72,71.99,108.04,103.01,95.23,76.72,80.2,89.3,103.32,117.26,66.87,119.6,113.46,115.31,110.9,114.49,112.26,103.72,100.42,92.61,93.03,96.09,92.44,93.99,93.85,99.96,97.4,90.01,77.58,71.44,78.48,74.46
CZE,Czech Republic,Climate Watch,Total including LUCF,All GHG,MtCO₂e,108.16,102.95,112.12,117.42,118.68,118.62,119.05,117.16,119.86,125.1,128.57,127.89,126.62,132.56,138.0,136.19,135.14,136.65,136.37,133.1,138.66,136.38,124.42,132.93,139.9,142.91,138.89,140.11,146.91,153.78,158.27,175.65
BEL,Belgium,Climate Watch,Total including LUCF,All GHG,MtCO₂e,103.62,99.96,108.16,109.05,108.32,110.5,109.15,104.5,110.61,109.76,110.98,122.09,114.6,120.96,118.24,123.03,126.94,129.67,131.79,128.4,135.73,134.3,134.1,137.94,135.19,138.36,133.04,132.87,127.51,129.71,131.67,126.91
OMN,Oman,Climate Watch,Total including LUCF,All GHG,MtCO₂e,102.97,96.63,101.4,100.62,95.71,96.61,93.13,88.74,85.08,80.99,72.69,65.28,60.97,57.98,58.31,55.52,47.42,47.43,48.24,46.37,44.76,41.02,36.69,33.73,34.66,33.27,32.29,28.77,26.7,25.1,25.21,21.04
ECU,Ecuador,Climate Watch,Total including LUCF,All GHG,MtCO₂e,98.39,94.39,100.52,100.35,99.08,100.47,92.39,94.07,92.36,89.26,89.38,100.62,97.04,93.66,91.93,92.38,89.88,88.16,83.74,82.51,82.95,85.76,86.36,89.2,90.91,89.01,84.89,82.43,79.18,77.52,74.98,74.24
PRY,Paraguay,Climate Watch,Total including LUCF,All GHG,MtCO₂e,97.7,97.29,96.85,94.55,96.32,93.55,114.68,114.34,112.6,111.07,109.82,96.69,94.27,92.24,94.77,90.83,90.83,89.37,91.76,90.48,89.74,73.27,77.91,74.8,74.67,73.5,73.75,71.79,71.83,71.64,72.35,75.36
MAR,Morocco,Climate Watch,Total including LUCF,All GHG,MtCO₂e,92.99,86.29,90.48,83.9,82.5,78.24,79.97,77.75,76.56,76.08,74.26,66.22,62.82,63.15,60.02,59.28,57.74,55.51,49.97,49.99,48.47,44.55,43.41,41.24,40.33,38.43,37.76,37.06,33.95,34.26,33.16,31.9
ZMB,Zambia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,88.47,91.29,95.09,95.03,96.13,95.31,96.25,90.55,90.83,90.92,87.65,72.39,63.31,67.08,63.47,61.02,68.36,67.0,65.2,56.54,54.02,45.42,48.87,50.53,49.28,48.79,61.55,61.77,62.49,62.94,62.78,62.41
BLR,Belarus,Climate Watch,Total including LUCF,All GHG,MtCO₂e,86.35,86.26,88.69,90.5,87.61,86.11,92.12,96.59,97.34,96.76,95.15,89.41,84.79,87.73,83.68,84.98,81.8,80.99,77.3,76.36,76.82,70.37,72.92,74.86,76.67,76.15,75.33,83.02,96.14,108.91,122.28,128.91
ISR,Israel,Climate Watch,Total including LUCF,All GHG,MtCO₂e,85.58,84.63,87.63,85.1,88.71,87.16,87.25,85.14,86.99,95.5,88.97,89.22,83.77,84.29,83.61,80.47,76.2,77.55,76.46,75.65,73.68,73.82,68.93,66.72,65.36,62.33,59.21,55.36,52.02,47.95,45.15,44.08
PRK,North Korea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,83.86,95.52,99.85,92.93,99.62,61.09,57.58,66.93,62.77,73.64,74.89,91.34,93.1,94.69,86.53,99.42,97.21,93.91,91.37,89.65,93.31,94.76,91.19,86.87,93.89,97.47,109.42,118.3,129.47,139.1,153.63,161.27
ROU,Romania,Climate Watch,Total including LUCF,All GHG,MtCO₂e,82.15,76.35,82.84,84.58,83.41,80.25,-180.22,-182.41,-181.74,-172.37,-170.0,107.78,110.77,126.85,129.03,131.84,128.38,128.97,131.11,126.16,128.81,127.34,123.41,139.47,155.75,168.04,164.56,158.93,163.68,174.72,195.27,235.07
MNG,Mongolia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,78.87,76.32,79.35,75.86,73.98,71.17,68.96,67.58,65.03,62.51,59.13,56.33,59.12,57.98,57.78,55.0,52.06,49.3,49.46,49.7,51.47,54.77,53.6,53.48,53.83,51.63,52.19,51.26,53.07,54.27,56.5,54.26
KHM,Cambodia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,76.91,76.54,75.15,71.49,70.74,67.96,101.61,99.73,99.41,98.97,101.44,36.42,37.41,36.07,36.32,35.28,31.44,32.98,31.97,29.47,26.34,26.37,28.03,28.44,24.92,23.59,27.71,25.07,26.25,25.43,24.9,25.2
KEN,Kenya,Climate Watch,Total including LUCF,All GHG,MtCO₂e,74.68,78.41,70.37,62.72,61.71,63.95,74.48,72.52,69.46,68.53,69.52,74.41,73.0,72.54,71.46,54.9,54.51,54.1,51.55,50.58,49.71,31.07,32.11,30.13,28.91,29.18,29.82,29.54,29.2,29.45,29.47,30.76
GRC,Greece,Climate Watch,Total including LUCF,All GHG,MtCO₂e,71.84,70.16,79.93,85.41,88.13,88.53,89.81,91.55,94.63,102.3,106.75,107.34,114.21,120.8,125.28,121.3,122.84,120.81,120.75,117.54,117.26,116.89,111.09,110.19,105.99,104.91,103.83,99.4,96.78,96.41,94.34,94.27
NZL,New Zealand,Climate Watch,Total including LUCF,All GHG,MtCO₂e,70.58,70.34,73.39,72.29,73.02,71.39,66.65,67.29,66.66,67.14,64.53,58.93,58.79,61.69,61.67,62.87,62.73,61.33,61.9,59.41,58.21,52.43,52.23,49.94,51.62,49.2,48.79,47.49,45.99,46.8,45.97,46.31
IRL,Ireland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,68.98,66.39,68.56,70.6,72.91,73.76,71.39,69.56,69.25,70.11,68.68,72.75,74.0,79.39,80.49,82.02,81.43,80.17,80.99,80.12,81.54,78.98,75.78,74.1,70.81,69.45,68.12,67.34,65.92,65.27,65.11,64.59
AUT,Austria,Climate Watch,Total including LUCF,All GHG,MtCO₂e,67.34,64.2,69.74,68.66,71.77,69.85,69.55,68.27,72.03,71.42,74.86,77.58,71.79,78.98,79.23,82.18,84.39,84.34,83.45,78.52,77.02,65.4,65.17,66.99,67.02,67.99,64.27,61.79,61.72,61.79,67.61,63.33
SGP,Singapore,Climate Watch,Total including LUCF,All GHG,MtCO₂e,67.34,64.25,64.95,64.23,65.77,62.69,62.33,60.61,59.44,58.54,58.94,55.9,52.14,51.58,51.28,50.0,49.57,52.29,50.83,53.98,54.74,54.82,49.97,48.75,49.41,49.32,47.93,46.62,43.09,36.63,34.0,30.86
SSD,South Sudan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,67.21,71.18,61.67,70.55,63.95,66.34,62.73,62.82,61.06,60.93,76.14,79.7,80.41,78.46,77.47,73.35,74.44,71.02,68.39,65.66,61.68,67.47,65.55,62.06,56.43,51.1,46.26,45.48,43.51,41.62,39.23,38.37
HUN,Hungary,Climate Watch,Total including LUCF,All GHG,MtCO₂e,62.58,61.37,63.15,63.33,63.52,61.49,60.18,57.25,56.96,59.32,63.19,64.87,64.91,70.75,72.13,74.3,75.02,75.71,76.88,74.14,75.78,72.88,75.86,75.07,75.15,76.84,74.62,76.31,76.59,76.12,86.01,91.05
BWA,Botswana,Climate Watch,Total including LUCF,All GHG,MtCO₂e,62.33,53.35,51.78,54.56,56.05,52.1,53.32,53.84,55.16,54.66,69.42,63.53,51.59,61.65,52.27,53.81,51.88,50.32,49.84,57.93,57.56,54.77,55.1,55.13,55.42,55.87,54.77,53.87,53.64,53.98,53.74,54.33
FIN,Finland,Climate Watch,Total including LUCF,All GHG,MtCO₂e,61.93,61.94,66.89,69.8,68.39,70.97,6.93,10.42,14.42,13.68,19.27,66.75,58.58,62.0,70.21,72.18,60.53,72.82,76.59,68.26,65.88,44.69,45.76,46.23,49.79,51.68,45.21,49.17,42.53,41.29,44.39,44.5
