"Greenhouse Gas Gross Total, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Missouri,141.2713428485598,138.72681815178612,137.8548507565743,137.12950846615692,145.87241411425853,152.2532293091871,159.32150956507186,162.38787826973402,163.48552710570766,162.41281676635373,163.42365275015703,169.73555184819338,170.92697439093504,177.64241747388903,178.5481413679357,180.93574589152828,179.84313504893734,178.2998009419388,174.40268776136918,168.23341184116163,176.0345032636544,173.38174424165862,165.9590869848963,172.6522428768666,172.2960292869535,163.4755145618101,155.39402244169375,163.33824318135402,164.5129175834327,154.8210111,145.8359100418601,154.50956038557052
Georgia,160.9091658725828,152.8514305413969,152.5446924793003,162.87136773218592,166.9989367721273,175.62576490531163,178.6016628984584,181.76838159928798,184.02673836723983,186.73779019310652,195.58923710828927,187.08167482161488,193.47150117890484,196.09403138664027,199.20822617206852,209.5450442900418,205.6874009091983,209.2747552318481,196.02116506730707,184.6174045012373,195.06156267460682,176.76376587387594,161.4639544855794,163.37619957702321,169.0559877933689,168.23943754213232,167.2504875010192,164.7008494019022,166.1886557340134,160.99623532088347,141.9615772069886,149.1583539115394
North Carolina,128.52270766530455,128.02403816941447,140.50077121946026,146.68909255163953,144.00481352659995,151.18606787781079,164.15006052676233,166.87944153444676,167.72803693277348,165.9071131467481,174.35261934718858,169.77402510572992,172.2323810605372,174.40262312362785,176.64654561038256,179.95507015831765,174.74387842504686,179.66710361489226,173.08167725281126,159.16675035758604,172.94866042696216,158.17020408230147,149.98890775416754,150.86976264514067,153.71866950873832,150.21599277046312,152.29441080361283,148.37835524800917,152.59509598466911,151.9840999710639,135.1498812334607,143.95273217982583
Kentucky,170.0511226945331,166.78390513205719,173.4765953845033,182.3815691019106,180.8297571564942,185.7734489473503,186.2307698376652,191.15224033537964,194.9240553892892,192.41133068798663,192.58835204481693,190.46124843682946,190.9312765874995,183.8192140759997,191.84855996355242,191.12310576065107,194.18913433980978,194.0469368189967,190.2823981867857,178.06820816062546,186.48941856253114,186.5402919022895,172.21606318456924,172.1678467206602,173.6372867950045,162.6851935,154.5887403,146.8286231215546,152.05243661426164,142.2673322120443,127.93237252427329,138.7098236874936
Alabama,143.10250628699148,146.2587988430307,151.8069926390637,154.9036617409472,156.21313703469457,166.9724843955085,170.3648999,166.0502272680606,168.7695112078306,170.6326532,176.8898471,167.38468279480975,171.35118169536642,172.83215599610344,172.76191322033068,172.88340898333362,174.62650517138056,177.6926890688284,172.041291,151.67103439744315,163.06286087967146,158.4948937300799,150.52038838815866,148.96528429944797,151.36110103030248,145.2908721253704,138.5168481952164,133.5151374305559,138.97545828453292,131.55875902564122,125.26034386137931,135.32549599034687
Oklahoma,143.6830320219696,144.6829008469359,146.00942266768732,148.4090821034791,147.18014492860857,148.24336964009066,151.0759911952939,150.96443504711502,149.1049305207717,146.6016276138677,149.17626054708396,150.68695822527928,150.9582920813854,152.7790059,151.9352082314463,157.10529089201228,158.5192561184778,160.66955387522782,163.2228009346702,156.3559830429949,155.95804679532108,157.3437844980873,151.94798834722587,153.73462386701772,154.6406419692859,151.7286542272724,147.0638303120768,146.49195896924562,152.33860581862692,143.11589503445612,131.06738744855622,133.4829923737899
Minnesota,110.59143320529975,110.03035067502765,110.06136445367486,116.18239106819453,117.32348027822195,121.08520788101758,125.39733006527527,124.28454796049661,125.6110544706378,125.54836644671121,130.6101398494941,126.69139636426138,129.99953574547612,135.02005972732397,134.57798196990728,134.62946145586187,130.89705313549862,133.5447084891473,133.0257665200308,124.29411957307265,139.96263179284176,138.61686770179625,134.56648535881087,139.31702394406318,147.29962681203077,133.74813867189727,135.16017059219928,135.3100301205321,142.07506280862125,137.20710826529856,122.05876185835375,126.85095954538471
Wisconsin,117.4696472052279,120.1296432,118.97046962149173,121.8770667430549,124.72498080909702,128.4421631258824,132.79871089575713,135.3339877677646,134.1761860840554,137.6591296133343,139.0658103827921,137.5173714556295,138.90336700131732,137.84706458418825,139.40492549467356,142.8127416,135.76854153215143,138.29856577702603,137.0035620992136,127.6202714238613,129.57995400792308,128.3080920915596,121.1608904913187,132.0024621934661,132.1478131718951,131.07858732628287,126.8019661188143,129.89272297295096,132.8550856485221,125.0458228515691,116.8325676272382,122.5087350184498
Colorado,100.48070331999993,102.07196916330054,105.27606275927393,107.37164709678488,109.15255658348437,109.12344398839348,111.60433210786732,114.52765373670229,117.05177138036234,119.7002126,124.2187455108266,132.73297402778448,131.42971179093422,130.9829149783799,133.4620673840466,138.63037713246501,140.33739328691158,144.76558744887095,142.8823525939565,136.92854241635015,140.7733139,135.66828783656499,132.87664661470788,131.1270726839579,131.7436780004185,129.19581895997638,127.89534091631108,129.13040746928493,129.50563518708444,131.8534104813778,118.4071987587776,122.4961727979971
Virginia,135.90592321306698,135.1449125821928,136.4122835560617,136.2139302887691,133.68565435540245,133.61060678397564,139.16563158921915,140.50965826803284,141.51837208585087,143.15521196925613,150.1117936277098,147.4092245314142,145.26960328297562,151.25022746427217,152.86490221991525,152.8470418837693,146.09947740274242,151.1564462295934,140.44810413995307,128.4586773473857,133.25293984774953,123.23930827607188,118.64063563080441,127.14422407978671,127.59519626213743,128.32372998465274,130.71663742680477,125.5077282350529,130.21337790185066,125.02884096166724,120.1176249030799,120.12686202235953
West Virginia,144.9904922063115,137.3990543444026,140.30587964335044,133.07893048709846,139.96856806900192,138.28576031683474,145.05427505827322,147.6504609726239,150.29797510433397,153.7418511199729,146.25537188265704,137.8956289330946,148.20215802791785,143.4406343518119,141.56187304247192,143.9631752997328,143.9632753192179,145.0418054761307,145.18922466033882,125.7527804520585,135.75006018888487,130.464758,123.73006201454619,127.9037696441777,136.4449715,128.3343546244562,126.78610275376701,127.0912802734812,124.0731671632556,118.43052513300468,108.01911074607052,117.6945561677754
Iowa,105.68998901356201,107.28178508545302,102.8346516470288,105.79329042583379,108.45327703955759,111.69847662917441,114.06888432212651,112.56666476144441,118.24703753661198,121.18439249764839,120.05643402437723,119.0140603477734,122.08953964723021,119.70359905015982,120.86660506665649,121.64660593882658,125.30406423700548,131.7743023628403,135.09648831388859,127.9189861526049,134.38526845835418,132.55877085284956,126.50099322379181,128.64524028462068,131.3397592295882,124.5885631057561,119.22851764407673,121.60577112013921,131.05301457071693,122.0503175219812,109.28472721947311,117.40451814420892
Tennessee,127.73326477298379,123.1082712104293,129.3685404142014,139.5433728390375,135.5939439258945,142.2230906476862,143.10438116930058,146.0443054454143,145.47210572748278,145.9772302417092,151.18565495082498,148.8435015794441,146.8049448,145.6445720492616,147.2598615755237,148.94680388694792,151.4975708276157,150.8742938871187,144.83165226600377,122.57198953814421,127.24334255578079,123.19791235218621,116.50458163655551,114.4254405533256,120.39107849438061,115.71461315436106,118.7125946286108,114.96978358620667,111.16209978558861,110.30876931075109,101.9241097527552,111.4324521644934
Kansas,118.8607401524217,116.9119306469034,116.9364507032685,125.8306061543723,124.41739248062709,123.32784621762882,129.2456405002165,126.47836120303052,125.88001037038393,126.53972057660249,128.9604484960294,127.3310545791154,127.35513491266332,130.17199658121268,128.28693221545313,126.1037849168506,123.8452900964896,132.4354348,129.0483532310083,121.79892510152409,125.1641491222262,120.3029032597568,116.01172940308801,123.4365679325547,121.699146,116.8898695337707,114.8027484694956,112.01749236370378,112.7637900670496,112.41781768848759,107.69145484757621,109.01290625212059
Arizona,80.50856407877112,80.47892713484244,84.12774937215012,86.78691476615084,89.77311255983442,85.19715634139732,87.03344358366388,92.03204422429994,95.86467598,100.07126483263991,105.22153812867658,107.05838934363264,106.72803143256905,109.00699394682071,116.21297860491666,117.12655708068415,120.1378669461265,122.04987387353798,122.3224441294452,112.16753773948444,116.77993145532265,113.01637927169486,111.76717776292655,114.48451783640408,113.76449064294336,112.01410063684826,107.0282008721215,106.32064357909395,111.38010028085459,109.5526695386052,97.01835931019569,100.0011839392982
New Jersey,114.88984064106097,112.55246304338259,119.41826680555121,117.38031744730021,127.73884724954672,126.27197534240635,129.4789033416177,129.7655985,124.59307225217027,129.3907438489677,128.58086159328028,125.01703758578202,123.98056796254494,126.55070480630181,129.47587207866263,131.61453644198815,126.71803004204344,133.06461632417856,126.48313621223417,116.55471861517006,112.57876875800213,110.85259977243516,105.61752398768017,107.22722007558272,113.5515445356132,111.31168875266196,113.25987661706654,106.08657344539357,110.36088864800844,108.01791923192468,90.78569162113928,95.97725048763972
