"","Event","Mean","data.frame(forecast_demand_withshock).Point.Forecast","data.frame(forecast_demand_withshock).Lo.80","data.frame(forecast_demand_withshock).Hi.80","data.frame(forecast_demand_withshock).Lo.95","data.frame(forecast_demand_withshock).Hi.95"
"196",1,61197,61918,58445.9464447108,63949.5804002791,56989.2225307278,65406.3043142622
"197",1,61574,61616,58823.3100303641,64325.6844578166,57366.9194933355,65782.0749948452
"198",1,61613,59836,58862.9742778214,64363.9218043387,57406.9614186565,65819.9346635036
"199",1,60841,59737,58091.5704556994,63592.0753749167,56635.6747476102,65047.9710830058
"200",1,60439,60290,57689.2809693117,63188.7398958945,56233.6621187493,64644.358746457
"201",1,60495,60460,57746.3523089988,63244.3943301937,56291.1084906385,64699.638148554
"202",15,60594,57783,55212.4163067675,63342.4038157625,53823.7776769811,64797.273623769
"203",15,59449,55909,52690.9006396487,62197.830909638,51338.6552222875,63652.9695762613
"204",15,58079,56209,52470.8776319866,60829.2761049456,51090.2995018748,62285.0602783993
"205",1,57569,58763,54819.9078206675,60319.6485877611,53364.2143714279,61775.3420370006
"206",15,58466,65043,55717.3662548175,66647.193109971,54261.932637206,68231.7521589099
"207",15,61679,61499,58924.6569707501,65454.7000677451,57466.0903946573,66936.3430164692
"208",15,61568,51772,50372.7474779578,64323.2187225379,49123.8407420288,65781.412739052
"209",1,57212,57045,54443.7726040083,59980.8462110594,52978.1977489227,61446.4210661449
"210",15,57523,57886,54083.5874052725,60291.5992648976,52636.380742084,61756.797446163
"211",15,58030,56947,53765.1473006007,60797.8660536549,52340.0325462542,62262.6991033864
"212",1,57843,59533,55076.9481192884,60610.1656657941,53612.3939017771,62074.7198833053
"213",1,58892,60499,56126.1327344875,61658.7894726037,54661.7269539905,63123.1952531007
"214",16,59802,61583,57036.9242465702,63683.514014162,55572.6864401869,65173.8349206597
"215",1,60702,61332,57936.5728292647,63468.1361870249,56472.4564490666,64932.252567223
"216",1,61003,61133,58238.5255443512,63768.7968933953,56774.7511382032,65232.5712995434
"217",1,61054,59809,58290.0406683624,63818.9017471591,56826.6395382009,65282.3028773206
"218",1,60491,59677,57727.6178188489,63255.5366287784,56264.4660921913,64718.688355436
"219",1,60172,59250,57409.2132962614,62935.9214337298,55946.3820152475,64398.7527147436
"220",1,59834,61589,57071.6039883376,62597.1612560289,55609.0773241532,64059.6879202132
"221",1,60712,61227,57949.8142892783,63474.8910168103,56487.4148163911,64937.2904896976
"222",1,60956,61048,58194.3692641476,63718.1156881889,56732.3219013249,65180.1630510116
"223",16,60989,60710,56898.5332397449,63750.6814480835,55470.2396081748,65212.3565485713
"224",1,60855,60046,58094.8758023574,63615.8315585432,56633.567084698,65077.1402762026
"225",1,60499,60401,57739.3451852308,63259.0953478857,56278.3555689035,64720.084964213
"226",1,60491,59173,57732.282779635,63250.6300954002,56271.6644744502,64711.2484005849
"227",1,59942,58678,57184.1891335206,62701.6590599603,55723.8030592622,64162.0451342186
"228",1,59468,59166,56710.1941352353,62226.7463950096,55250.0509526714,63686.8895775736
"229",1,59462,59645,56705.2419599803,62220.4196512701,55245.4626037171,63680.1990075333
"230",1,59670,59497,56913.4886753293,62427.2670758298,55454.0796889656,63886.6760621935
"231",1,59696,59618,56940.1112253395,62452.5051431762,55481.0686894014,63911.5476791144
"232",1,59759,61350,57004.3492204856,62515.3445252996,55545.676875053,63974.0168707321
"233",1,60554,60393,57799.7138372401,63310.0727651928,56341.2099305881,64768.5766718448
"234",16,60496,59543,56996.9858210104,63250.6633007396,55557.6557676405,64708.7992863842
"235",1,60091,59208,57337.9629153625,62845.8113527032,55880.1234954369,64303.6507726289
"236",1,59756,58115,57002.6975306342,62509.3846744995,55545.1654865244,63966.9167186094
"237",14,59114,61877,56360.9762170831,63077.3923135493,54903.5967424122,64563.2824923266
"238",1,60482,61081,57728.7653177018,63235.7815195368,56271.1461772085,64693.4006600301
