"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",15,62909,66472,64223.8945796164,70095.3198516361,62669.8221845469,71649.3922467057
"2",15,64302,66773,62576.647066408,68287.6793053633,61065.0281427699,69799.2982290014
"3",15,65142,63406,61479.8594674375,67016.1295707989,60014.4972869319,68481.4917513046
"4",11,64036,63889,61100.0360310082,66700.370109722,59617.7171405043,68182.6890002259
"5",15,63742,61635,57506.4708765306,62801.2667725466,56105.0230579339,64202.7145911434
"6",15,62608,65877,63231.0107617167,69163.2794027996,61660.8340996416,70733.4560648751
"7",1,63966,63917,61161.2109802335,66774.227739571,59675.5351869438,68259.9035328606
"8",1,63735,62804,60932.2142927056,66543.6195646405,59446.9650343664,68028.8688229797
"9",1,63140,63994,60336.460261594,65946.5504432776,58851.5590866181,67431.4516182534
"10",1,63385,63154,60587.5992801552,66196.3270786055,59103.0587062389,67680.8676525218
"11",1,63140,63952,60337.4324392644,65944.574318238,58853.3116328774,67428.695124625
"12",1,63378,64211,60576.1441406526,66181.8988663871,59092.3904915496,67665.65251549
"13",1,63609,64253,60807.8701705355,66412.2630661767,59324.4769760849,67895.6562606274
"14",1,63735,64862,60939.1458002288,66542.0776722426,59456.1393153729,68025.0841570985
"15",1,64071,62545,61274.9263796733,66876.6800513771,59792.2317456021,68359.3746854484
"16",1,63210,63259,60410.5017681794,66011.4368462101,58928.0238027654,67493.9148116241
"17",1,63119,64533,60324.1849776077,65923.5248900123,58842.1292270309,67405.5806405891
"18",1,63644,63196,60850.2421517567,66448.6523795345,59368.4324738365,67930.4620574547
"19",1,63301,63252,60509.5433995114,66106.427385594,59028.1376933658,67587.8330917396
"20",14,63168,64113,60140.8113383201,65714.2009294222,58665.6242228891,67189.3880448532
"21",14,63490,63294,60565.7721124767,66147.5168295388,59088.3735287888,67624.9154132266
"22",1,63287,65107,60490.8219141796,66083.2416569265,59010.5978218691,67563.4657492371
"23",1,63987,63728,61197.5693188313,66789.5085291752,59717.4724157649,68269.6054322416
"24",1,63714,62853,60923.9544544795,66514.3252868623,59444.2726759836,67994.0070653581
"25",1,63203,62489,60412.0014858249,66001.0372530375,58932.6730777342,67480.3656611284
"26",14,62804,62013,60824.0253006314,66487.2356990114,59325.0640536009,67986.1969460419
