"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",1,62909,62055,60163.4645728515,65663.6804762549,58707.6453626274,67119.499686479
"2",15,62342,62034,59812.8010117429,65446.7842672429,58321.5757221388,66938.009556847
"3",15,62111,63875,59299.3767831303,64905.4374350136,57815.5421602671,66389.2720578768
"4",15,62818,62139,59221.5151764163,64753.5666950819,57757.2695878314,66217.8122836668
"5",1,62384,62531,59585.3081697802,65190.4107580249,58101.7271310442,66673.991796761
"6",15,62356,59626,56400.7168697892,61707.1247355609,54996.1955484544,63111.6460568957
"7",1,61061,60893,58259.7942200851,63864.1981708211,56776.3980995276,65347.5942913786
"8",1,61012,62769,58213.6902918005,63816.4978449796,56730.7167121525,65299.4714246276
"9",1,61817,61201,59021.988882677,64624.2234526172,57539.1669625314,66107.0453727629
"10",1,61502,61474,58707.8781519409,64308.6394727917,57225.4461772743,65791.0714474582
"11",1,61481,61208,58682.3068693099,64281.465917496,57200.2989906,65763.4737962058
"12",1,61348,60599,58553.2410769567,64150.8196722254,57071.6515188652,65632.4092303169
"13",1,61019,62538,58223.3810040138,63819.558831982,56742.1622066309,65300.777629365
"14",1,61719,60179,58926.3591546057,64521.7054916711,57445.3604395705,66002.7042067063
"15",1,61005,60704,58212.8352530901,63807.3860245391,56732.0471115537,65288.1741660755
"16",1,60907,62951,58110.6546315506,63703.634099785,56630.2823888526,65184.006342483
"17",1,61845,61166,59055.3850993275,64648.1770002623,57575.0625026947,66128.499596895
"18",1,61502,60368,58710.4117288284,64301.7631074537,57230.4704154194,65781.7044208627
"19",5,60991,66605,62378.8587738627,68370.7922182274,60792.889792301,69956.7611997891
"20",1,63497,62454,60703.9357521692,66303.06477606,59221.9358204102,67785.064707819
"21",1,62853,63840,60055.9468180204,65653.8480787645,58574.2718555365,67135.5230412485
"22",14,63161,62608,58892.929615736,64352.8244874017,57447.7827379459,65797.9713651918
"23",16,62769,64428,61707.2351132014,67464.0395347322,60183.5010246574,68987.7736232762
"24",1,63392,62013,60595.1191790734,66189.5991674434,59114.3497726864,67670.3685738304
"25",1,62622,64582,59825.7897352751,65419.3081237058,58345.2748490175,66899.8230099633
"26",1,63392,63686,60599.2404861297,66192.4568492604,59118.8055411402,67672.8917942499
"27",1,63364,62447,60572.9420458644,66164.599913768,59092.9196096437,67644.6223499887
"28",1,62811,63742,60017.812614616,65608.1628951894,58538.1362758555,67087.8392339499
"29",14,63119,63728,60980.2271195277,66629.5074554652,59484.9529373069,68124.7816376858
"30",1,63266,64722,60474.4036787324,66061.9985438061,58995.4566544001,67540.9455681383
"31",1,63777,63161,60984.5098088281,66571.2339630439,59505.7932477385,68049.9505241335
"32",1,63329,62839,60541.2048634981,66126.4716977049,59062.8740317149,67604.8025294881
"33",1,62979,63763,60193.8140874022,65777.5836966597,58715.8795471249,67255.518236937
"34",1,63231,62944,60440.2413775482,66022.6370816516,58962.6704879987,67500.2079712011
"35",1,62986,63224,60198.5843532123,65779.4312945192,58721.4233964129,67256.5922513186
"36",14,63000,64729,59808.9592398674,65351.0086195337,58342.067377325,66817.9004820761
"37",1,63665,64183,60881.6589661211,66460.3706116637,59405.0631879706,67936.9663898142
"38",1,63749,63301,60962.0031529766,66539.2307873974,59485.8001688431,68015.4337715309
"39",1,63399,61229,60615.2261353481,66190.9505492074,59139.4210296632,67666.7556548922
"40",1,62328,59703,59540.3072447443,65116.0223882583,58064.5045927716,66591.825040231
"41",1,61145,60851,58358.0660218635,63934.4882739206,56882.076209565,65410.4780862191
"42",1,61096,60389,58309.2775139232,63884.1700596231,56833.6925904399,65359.7549831063
"43",1,60865,61222,58080.3036459626,63653.7915060301,56605.0905203076,65129.0046316851
"44",1,61124,61502,58338.5307780545,63910.4948066934,56863.720986215,65385.3045985327
"45",1,61362,61201,58582.2061981309,64152.653824282,57107.7977737852,65627.0622486277
"46",15,61341,60522,59175.6590669432,64802.8000452102,57686.2448187259,66292.2142934275
"47",15,61033,59241,57085.9510955707,62541.949266512,55641.8356121605,63986.0647499222
"48",15,60319,61684,57527.7633173757,63093.6860696416,56054.5525548022,64566.8968322151
"49",15,61061,66318,62581.5356175094,68558.4964222155,60999.5296542775,70140.5023854472
"50",1,63455,61677,60670.9161848234,66244.5934676404,59195.6529219952,67719.8567304686
"51",15,62531,58261,55739.8677356356,60939.2225504316,54363.681645292,62315.4086407753
"52",15,60592,62979,59478.0262153605,65216.550902816,57959.1304801634,66735.4466380132
"53",1,61761,62692,58972.4555368645,64550.362337829,57496.0727882057,66026.7450864878
"54",1,62181,61138,59394.01306059,64970.6440597812,57917.9679962626,66446.6891241086
"55",15,61698,60179,57800.6844873814,63271.0167874409,56352.7749891727,64718.9262856495
"56",15,61047,55279,52506.958627051,57530.9909302568,51177.1776024065,58860.7719549012
"57",1,58576,59752,55789.9658274103,61373.9703962743,54311.9690970818,62851.9671266029
"58",15,59381,59311,56484.5410660382,62056.8718303852,55009.6342051204,63531.7786913029
