"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",15,62909,59745,57857.1474198679,63146.517050152,56457.1358470533,64546.5286229666
"2",15,61320,61544,59853.3105032493,65593.0513989018,58334.0928571876,67112.2690449635
"3",1,61411,60179,58610.4893765605,64220.6019539721,57125.5822737935,65705.5090567392
"4",15,60851,59619,57386.7640117953,62931.8138466009,55919.07797675,64399.4998816464
"5",1,60340,59962,57537.3060429197,63145.2253110554,56052.9794740507,64629.5518799245
"6",15,60249,58401,57710.7185134385,63342.6002050793,56220.0494741873,64833.2692443304
"7",16,59514,61124,58523.3266207397,64308.1779561551,56992.1689625144,65839.3356143803
"8",1,60375,62370,57574.1964289859,63179.3585066088,56090.5996443626,64662.955291232
"9",1,61327,58611,58527.500381656,64132.3900004248,57043.9757125352,65615.9146695456
"10",1,60102,61740,57305.8242178008,62911.5927659802,55822.0669101178,64395.3500736633
"11",1,60921,62741,58119.1231404423,63724.1760217888,56635.5552583276,65207.7439039035
"12",1,61740,60788,58942.8133394388,64547.3678894636,57459.3773576574,66030.8038712449
"13",1,61264,62223,58465.2396363843,64068.4998552546,56982.1462433653,65551.5932482737
"14",1,61677,63231,58877.5047220588,64479.470275354,57394.754006318,65962.2209910949
"15",1,62314,62545,59518.0488880403,65119.2215377592,58035.5080411989,66601.7623846007
"16",1,62314,63714,59517.2715259686,65116.8637522059,58035.1489919543,66598.9862862202
"17",1,62832,63217,60037.4465248711,65636.0998002157,58555.5725161458,67117.973808941
"18",1,62860,62377,60064.7482579521,65661.8539550004,58583.2838684586,67143.3183444939
"19",1,62503,63588,59708.9067988339,65304.4926636019,58227.8446846454,66785.5547777904
"20",1,62874,62412,60082.2330824464,65676.6215246494,58601.4879068661,67157.3667002297
"21",1,62531,61488,59739.5623992824,65332.4308102917,58259.2195516562,66812.7736579178
"22",1,61964,62972,59172.4208164233,64764.0626012185,57692.4026371443,66244.0807804974
"23",1,62356,62734,59566.0157635158,65156.4002293833,58086.3303764544,66636.0856164447
"24",1,62440,62097,59647.6105298048,65236.4614579912,58168.331045649,66715.740942147
"25",1,62195,60109,59406.2776666748,64993.5838858785,57927.4070422893,66472.454510264
"26",1,61201,61019,58413.8381786999,64001.0140218953,56935.0020627593,65479.8501378359
"27",1,61145,62930,58352.8644366622,63938.4675728357,56874.4445911253,65416.8874183726
"28",16,61957,58814,56909.5425347275,62281.2940752702,55487.7257874187,63703.110822579
"29",1,60522,59486,57731.0496214542,63317.8501286664,56252.3128509474,64796.5868991732
"30",1,60144,59304,57353.0722477385,62938.6490341228,55874.6593765695,64417.0619052918
"31",1,59885,59318,57093.1731006179,62677.3999956462,55615.1175241083,64155.4555721558
"32",1,59766,60249,56974.7933472596,62557.5530196745,55497.1261211172,64035.2202458169
"33",1,60116,59906,57328.9162369923,62910.1759621812,55851.6460228991,64387.4461762745
"34",1,60130,59528,57340.5280144381,62920.2271525429,55863.6708627947,64397.0843041863
"35",4,59962,54054,51207.8224606147,56203.759736142,49885.4777406035,57526.1044561532
"36",14,57456,55377,53789.267629561,59287.900034025,52333.8675461886,60743.3001173974
"37",1,56854,57337,54064.6905028181,59652.8262071617,52585.6003269782,61131.9163830016
"38",1,57442,56875,54650.6059683982,60237.2393816187,53171.9134249994,61715.9319250174
"39",1,57498,56616,54710.3578664993,60295.5262628092,53232.0530896535,61773.831039655
"40",1,57400,58114,54614.3278782615,60198.1872031923,53136.36959168,61676.1454897739
"41",16,58016,57274,53998.3108290851,59456.1667323511,52553.7036336306,60900.7739278056
"42",1,57925,56301,55138.8465027588,60719.9136309405,53661.627266014,62197.1328676853
"43",1,57442,56609,54655.6707026363,60236.0499840796,53178.6335279256,61713.0871587903
"44",16,57344,58541,54141.3818842504,59677.602029435,52676.0329268755,61142.9509868099
"45",1,58156,59661,55369.5677864568,60947.5111898797,53893.1753497124,62423.9036266241
"46",15,59024,60277,56208.9430845067,61782.8080567879,54733.6301432782,63258.1209980164
"47",15,59703,64106,60992.3859361695,66967.2567019991,59410.9331728119,68548.7094653567
"48",1,61733,63161,58942.8786084055,64523.7505489758,57465.7110347008,66000.9181226806
"49",15,62258,59864,58305.7349842248,63776.5436578493,56857.6993975499,65224.5792445241
"50",15,61026,56091,53587.6550660798,58722.0609373533,52228.6599226596,60081.0560807734
"51",15,58772,59850,56180.3530064889,61786.5631173757,54696.478824217,63270.4372996477
"52",4,59402,60907,58116.2067266544,63849.8588104813,56598.6006917328,65367.4648454029
"53",15,60165,58380,56097.8047808989,61558.1840644911,54652.5296870167,63003.4591583732
"54",15,59381,55083,52435.8734950143,57611.0042160453,51066.0991349868,58980.7785760728
"55",1,57561,58030,54769.7264789731,60358.5295323419,53290.459666516,61837.796344799
"56",1,58016,57302,55227.2649879483,60814.5788762977,53748.3923336625,62293.4515305834
"57",15,57897,57862,54430.1151029654,59947.1221025088,52969.8515580552,61407.385647419
"58",15,58086,58772,55540.2259585609,61148.8756101175,54055.7060688779,62633.3954998004
"59",1,58576,56847,55789.7497798318,61372.7196786894,54312.0269101114,62850.4425484098
"60",1,57946,57008,55156.3836929398,60738.7847395266,53678.8113893203,62216.3570431461
"61",1,57715,57876,54928.8987472928,60510.0386828129,53451.6602396097,61987.2771904961
"62",1,57995,58240,55205.3264713982,60784.922831774,53728.4965233766,62261.7527797957
"63",1,58275,58198,55492.1763198649,61070.2414314946,54015.7516689041,62546.6660824554
"64",1,58387,60193,55603.5502458766,61180.06871469,54127.534966541,62656.0839940256
"65",1,59325,58086,56541.4260754994,62117.4525444962,55065.541020649,63593.3375993466
"66",1,58821,59339,56036.6432372349,61611.6328021023,54561.0326343291,63087.2434050081
"67",1,59143,59332,56359.2858283702,61932.8122258354,54884.0625024822,63408.0355517234
"68",1,59290,58884,56504.4382198465,62076.4340905271,55029.6199999277,63551.2523104458
"69",1,59157,59157,56371.8752698089,61942.38277459,54897.4509965472,63416.8070478517
"70",1,59206,60389,56422.7713990417,61992.6773473375,54948.5063481638,63466.9423982154
"71",1,59787,59059,57005.8540275691,62573.7260607402,55532.1273215057,64047.4527668035
"72",1,59458,58576,56681.6433766341,62248.1502134279,55208.2780162246,63721.5155738373
"73",14,59094,61446,58243.2974745193,63999.0874804375,56719.8318855691,65522.5530693878
"74",1,60200,59752,57420.2367690511,62985.7202736557,55947.1422683107,64458.8147743961
"75",1,59962,60991,57181.9082655355,62745.9274575918,55709.2013449146,64218.6343782126
"76",1,60403,59332,57624.0295185907,63186.850506883,56151.6397433489,64659.2402821249
"77",1,59871,58226,57092.3436846349,62654.0123948381,55620.2588989802,64126.0971804928
"78",1,59129,58856,56352.7920316796,61913.8149657881,54880.8781726324,63385.7288248353
"79",1,59066,58975,56288.0009412751,61847.5184889367,54816.4855339517,63319.03389626
"80",1,59087,58604,56309.7425253691,61867.7328655567,54838.6313454465,63338.8440454792
"81",1,58926,59808,56153.6266386203,61710.1657985371,54682.8995629134,63180.892874244
"82",1,59388,57953,56615.3063807178,62170.5652493478,55144.9181776448,63640.9534524209
"83",1,58779,57183,56005.0175888485,61559.4210645641,54534.8557946036,63029.5828588091
"84",1,58149,59220,55374.9088615965,60928.6265566973,53904.9285825158,62398.606835778
"85",1,58758,58184,55985.6398875196,61538.2003224523,54515.9659167027,63007.8742932692
"86",14,58583,56427,55393.941691435,60903.9574448632,53935.5286175929,62362.3705187054
"87",1,57715,56805,54939.9637338117,60491.1026136365,53470.6660259035,61960.4003215447
"88",1,57470,57372,54700.0398221023,60249.926482062,53231.0735567715,61718.8927473929
