"","Event","Mean","data.frame(forecast_demand_withshock).Point.Forecast","data.frame(forecast_demand_withshock).Lo.80","data.frame(forecast_demand_withshock).Hi.80","data.frame(forecast_demand_withshock).Lo.95","data.frame(forecast_demand_withshock).Hi.95"
"1",15,63038,65795,60248.7051884478,69610.5773967521,58771.9736867854,71172.1658152289
"2",15,64008,69738,61202.4506823101,72703.3413709375,59717.1908807101,74319.5223929733
"3",15,66324,64449,63483.2950009939,69135.1130076675,61996.2685395765,70622.8646389893
"4",1,65059,64443,62248.9050425362,67869.3194659454,60761.2712058432,69356.9533026384
"5",16,64473,71448,61664.1616887055,71928.6566122615,60176.9222680281,73518.5826990815
"6",15,67322,79525,64506.1522290252,83013.0869739058,63015.0356491693,84777.8813288725
"7",1,72374,71580,69533.4048501515,75214.7222695044,68029.650964171,76718.4761554849
"8",1,71142,71950,68302.8238911084,73982.7136292709,66799.4478895127,75486.0896308666
"9",1,70762,71766,67923.0786209708,73601.5536597571,66420.0770676813,75104.5552130466
"10",1,70526,69818,67687.5035631001,73364.6886507023,66184.8434392648,74867.3487745376
"11",1,69541,69569,66704.0961126566,72379.8155919896,65201.8239118975,73882.0877927487
"12",1,68986,70398,66149.5546087982,71823.6548648426,64647.7109905549,73325.4984830859
"13",16,69126,67098,65228.4811025033,71963.4255731847,63750.943706348,73465.0146968851
"14",1,67690,66100,64853.597012817,70526.4545358232,63352.0823261397,72027.9692225005
"15",1,66587,67140,63751.5714576784,69423.6374959529,62250.266264355,70924.9426892763
"16",16,66549,69903,63714.62770178,72122.1054126357,62213.7242925099,73682.212635915
"17",16,67785,71625,64949.4192089791,73738.9939413555,63447.9580768878,75306.7223643213
"18",1,69153,70479,66315.1916266361,71991.0798198482,64812.8747700107,73493.3966764737
"19",16,69295,72677,66457.794682899,74448.520064712,64955.7488412715,75998.7899645789
"20",1,70369,69906,67530.6120061599,73207.6250242035,66027.9974263856,74710.2396039777
"21",1,69630,68337,66792.6607119176,72468.1402782254,65290.4520123004,73970.3489778425
"22",1,68581,66780,65743.8283090661,71418.2322640519,64241.9043065687,72920.1562665494
"23",1,67393,69363,64556.1119063964,70229.9519736073,63054.3371559773,71731.7267240264
"24",1,68017,68704,65181.2068085905,70854.7157688964,63679.5196968753,72356.4028806116
