"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",15,62909,60487,55778.5545227057,60877.8967037589,54428.8401774762,62227.6110489884
"2",16,61649,60739,57193.2156071317,62645.8038691142,55750.0026721039,64089.0168041418
"3",1,61208,60228,58408.1022770933,64017.122645072,56923.4842647005,65501.7406574648
"4",15,60774,59934,58476.699507879,64132.8448102163,56979.6082788118,65629.9360392835
"5",15,60445,61089,56149.9214458929,61611.030709814,54704.4531378889,63056.499017818
"6",15,60795,63238,58997.0947798154,64698.4010648642,57488.0501606743,66207.4456840053
"7",1,61915,63882,59117.4087213778,64722.6923933594,57633.7797526718,66206.3213620654
"8",1,62727,62069,59928.2500494224,65533.2224953937,58444.7034572654,67016.7690875507
"9",1,62300,61985,59504.3304961818,65107.8440453599,58021.1700506806,66591.0044908611
"10",1,62069,62909,59272.074281558,64874.0186366581,57789.3291766405,66356.7637415756
"11",1,62370,63245,59576.1395673462,65176.7152895762,58093.7567176672,66659.0981392552
"12",1,62664,62503,59869.9456617455,65469.1713726067,58387.9201384912,66951.196895861
"13",1,62475,61040,59680.6834297191,65278.3194707678,58199.0786666481,66759.9242338387
"14",1,61740,63637,58945.0591072376,64541.7871713181,57463.694671153,66023.1516074027
"15",1,62552,63329,59755.6604166236,65351.9946319736,58274.4002260009,66833.2548225962
"16",1,62797,62496,60000.3482320451,65595.2869172193,58519.4574159477,67076.1777333166
"17",1,62538,62258,59748.2342406621,65341.6083937643,58267.7575311899,66822.0851032364
"18",1,62321,62328,59527.6141253354,65119.4220342108,58047.5519756684,66599.4841838778
"19",1,62251,62363,59457.8086688926,65048.0230166545,57978.168309374,66527.6633761732
"20",1,62237,62188,59442.8314209975,65031.4592988535,57963.6109746979,66510.6797451531
"21",14,62153,61978,59752.615184587,65376.6109517993,58264.0334234491,66865.1927129371
"22",1,62020,62195,59230.0012815672,64815.4628408092,57751.6189091805,66293.8452131959
"23",14,62055,63595,60423.2123907569,66116.0626062196,58916.4059580366,67622.86903894
"24",1,62692,63364,59906.4082067104,65489.4951415095,58428.6543594473,66967.2489887725
"25",1,62895,61537,60105.5685178399,65687.2200764086,58628.1945917157,67164.5940025327
"26",1,62174,61957,59390.4698591371,64971.151222892,57913.3527280683,66448.2683539607
"27",1,62034,63427,59244.8567908077,64823.9749706272,57768.153409534,66300.678351901
"28",1,62615,62804,59829.8228154715,65408.0074120212,58353.3665387628,66884.4636887299
"29",1,62615,63574,59829.3102654479,65405.9271051352,58353.2689489148,66881.9684216683
"30",1,62958,62923,60172.9897947717,65748.3342445221,58697.2852595115,67224.0387797824
"31",16,62832,60011,57009.3984013609,62301.1266841702,55608.7625309339,63701.7625545971
"32",1,61481,60627,58699.0549557306,64273.9022440299,57223.4820111576,65749.4751886028
"33",1,61124,59507,58342.2035803974,63915.7210740589,56866.9826112039,65390.9420432524
"34",1,60459,60802,57676.9652629171,63249.7807934655,56201.9300921364,64724.8159642463
"35",1,60725,59794,57940.1876625102,63511.4694908603,56465.5584381801,64986.0987151904
"36",1,60396,60326,57613.370075262,63183.3638342631,56139.0817822943,64657.6521272307
"37",1,60473,61033,57694.9189153949,63263.3509713325,56221.0439802591,64737.2259064684
"38",1,60823,59801,58044.821061976,63611.7840838026,56571.3349566819,65085.2701890967
"39",1,60438,61579,57659.4649317933,63225.2065537938,56186.3021115051,64698.3693740821
"40",1,61047,61061,58266.9162875752,63831.5245228603,56794.0534566294,65304.387353806
"41",1,61096,62398,58319.6179421327,63882.6601148556,56847.1696229085,65355.1084340799
"42",1,61712,62601,58937.023434812,64499.063311695,57464.8404072714,65971.2463392355
"43",1,62090,61145,59315.9448915911,64876.6827492196,57844.1064877302,66348.5211530805
"44",1,61621,62223,58847.303028254,64406.7758892046,57375.7994487885,65878.2794686701
"45",1,61887,60193,59108.0402921683,64666.0728461117,57636.9179389395,66137.1951993406
"46",15,61103,60767,56761.347159439,62169.386536671,55329.9256019413,63600.8080941685
"47",11,60998,63693,60856.4882132824,66663.9563442679,59319.3442508751,68201.1003066751
"48",15,62244,63448,59612.1464853126,65182.5729514006,58137.7436616974,66656.9757750158
"49",15,62713,61768,59418.8178672382,64926.1100822881,57961.1256704599,66383.8022790664
"50",15,62195,62104,58573.4278398037,64048.8056761514,57124.1828688095,65498.0506471456
"51",15,62097,66423,65390.1607597472,71510.5526115708,63770.1908915699,73130.5224797476
"52",1,63973,63420,61198.1471471246,66755.6360346183,59727.1686937127,68226.6144880303
"53",15,63518,59717,56544.32016184,61716.0691532654,55175.4408915707,63084.9484235347
"54",15,61670,64484,62246.410797719,68121.9923214372,60691.2383092765,69677.1648098797
