"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"51",15,66290,63798,61969.724014662,67418.2872432569,60527.5764416184,68860.4348163005
"52",15,64792,66864,65330.3350779201,71214.1225242867,63772.9906129518,72771.4669892553
"53",15,65457,68509,65995.2428642013,71875.4144462249,64438.855460713,73431.8018497133
"54",15,66507,69832,66753.0640888318,72604.1057501977,65204.386909602,74152.7829294273
"55",15,67606,71106,68387.9825479311,74283.3293107262,66827.5785167187,75843.7333419388
"56",15,68705,70826,67967.8105545667,73731.5176249015,66442.2494452463,75257.078734222
"57",15,69125,70042,66202.3175943854,71781.2126462886,64725.6732715036,73257.8569691703
"58",16,68971,66794,64889.5316111538,70369.0993957105,63439.1776278589,71819.4533790055
"59",1,67459,67956,64667.4092388431,70255.8135137362,63188.2479766728,71734.9747759064
"60",1,67284,68194,64493.7108422869,70080.6410869481,63014.9397323516,71559.4121968831
"61",16,67319,64155,61889.7657522939,67247.1465296067,60471.7527162473,68665.1595656534
"62",1,65534,65170,62741.0756239207,68328.4239495966,61262.1938546252,69807.3057188921
"63",1,65156,65170,62367.7361917811,67953.5749447531,60889.2539822447,69432.0571542894
"64",1,64988,66311,62198.4567806183,67782.7445878578,60720.3850816203,69260.8162868558
"65",1,65422,65366,62632.7977528998,68216.1068284037,61154.9851085439,69693.9194727596
"66",1,65205,65856,62419.8472228561,68001.6110681258,60942.4435762376,69479.0147147444
"67",1,65331,65863,62543.3236271165,68123.6782259618,61066.2929854949,69600.7088675834
"68",1,65394,67564,62606.7129079841,68185.6081001295,61130.0685479825,69662.2524601312
"69",1,66192,65401,63404.0174011928,68982.9114834774,61927.3733349536,70459.5555497169
"70",1,65604,65912,62816.3247571038,68393.8758911696,61340.0361477866,69870.1645004869
"71",1,65562,63777,62773.998434572,68350.0367745063,61298.1102376743,69825.9249714041
"72",14,64589,66563,62061.6621668246,67660.3143322893,60579.7884518668,69142.1880472471
"73",1,65380,66920,62597.4186874215,68172.6727285377,61121.7380818813,69648.3533340778
"74",1,65919,64960,63133.0913554221,68707.5804477535,61657.6132195949,70183.0585835806
"75",14,65296,64302,63992.5699672461,69697.6487574623,62482.5268263034,71207.6918984053
"76",1,64715,64330,61933.607058038,67505.6341702833,60458.7805689766,68980.4606593447
"77",1,64456,63553,61676.3365536027,67246.8736046017,60201.9044599295,68721.3056982749
"78",1,63994,61502,61212.4721377086,66781.7455113259,59738.3745192343,68255.8431298003
"79",1,62860,61838,60077.1398285974,65646.88562336,58602.9171677991,67121.1082841583
"80",1,62475,65324,59695.8225528175,65264.3710873498,58221.9167876599,66738.2768525073
"81",1,63854,64274,61069.4123903007,66639.0595026122,59595.2158491695,68113.2560437435
"82",1,64029,64393,61245.3750435718,66813.5489216926,59771.5684439763,68287.3555212881
"83",1,64162,66150,61381.6852944691,66948.3723189488,59908.27224126,68421.7853721579
"84",1,65009,64757,62231.4415927975,67797.8851261772,60758.0929877895,69271.2337311851
"85",1,64792,67508,62010.8633147998,67575.8029370561,60537.9127710211,69048.7534808347
"86",1,65919,66255,63136.5322152314,68702.3360787667,61663.352920604,70175.5153733942
"87",1,65891,67011,63109.5324156295,68673.8497019851,61636.7465942136,70146.6355234008
"88",1,66220,64575,63438.9461103963,69002.1470689611,61966.4557630985,70474.6374162586
"89",1,65289,64274,62508.2420791284,68070.7852069952,61035.9258490987,69543.1014370249
"90",1,64722,65632,61942.4894385478,67503.8403734945,60470.4887629228,68975.8410491194
"91",1,65065,64379,62287.5566501488,67847.6564845305,60815.8871208404,69319.3260138389
"92",1,64666,64043,61891.0403430504,67449.7697487843,60419.733544294,68921.0765475406
"93",16,64330,68887,64263.9287352977,70065.5725973287,62728.3263637622,71601.1749688641
"94",1,66339,66353,63563.079594195,69125.5904235789,62090.7719130574,70597.8981047165
"95",1,66157,65002,63381.0091353764,68942.8603346836,61908.8760477735,70414.9934222868
"96",1,65464,63805,62689.2441373742,68249.1408854933,61217.6283617524,69720.7566611151
"97",1,64610,64855,61837.1046219091,67396.3714011628,60365.6555889738,68867.8204340981
"98",15,64687,62965,60266.933685253,65677.263056542,58834.9060029419,67109.2907388532
"99",1,63875,63364,61101.0887723223,66658.3011247493,59630.1835133213,68129.2063837504
"100",1,63672,62958,60900.396641051,66456.1794555,59429.8697578967,67926.7063386544
"101",15,63399,63952,62900.4248859468,68663.498021172,61375.0315691143,70188.8913380046
"102",15,63707,62748,58289.897151474,63601.6819301195,56883.9526472695,65007.6264343239
"103",15,63322,63623,60451.3299876231,65994.4243714041,58984.1615291995,67461.5928298277
"104",15,63525,58849,56796.9869602804,61985.9242547181,55423.5582210166,63359.352993982
"105",5,61488,60984,57572.9299345788,63020.8124336504,56130.9625397563,64462.7798284729
"106",15,61481,57848,56796.0666890495,62169.6122963955,55373.7750809422,63591.9039045028
"107",1,60067,60739,57292.2084365056,62849.3345821652,55821.3259950575,64320.2170236133
"108",15,60697,56357,54007.4048463345,59187.9099726845,52636.2079671468,60559.1068518721
"109",15,59010,56938,54202.281158873,59561.4427767275,52783.7967628076,60979.9271727929
"110",15,58471,55860,52041.6801956096,57236.9803401796,50666.5673116471,58612.0932241421
"111",1,57722,58002,54942.731364935,60503.5391621003,53470.874449197,61975.3960778384
"112",1,58324,57750,55544.826923453,61104.1605489739,54073.3601973796,62575.6272750473
"113",1,58478,58009,55702.0437803717,61259.9791946101,54230.9471384697,62731.0758365122
"114",16,58660,62286,58555.867358997,64378.152696592,57014.8015189029,65919.2185366861
"115",1,60662,59129,57887.7243919757,63446.9105786427,56416.2966906095,64918.3382800089
"116",1,60172,60389,57396.0119717434,62954.446447079,55924.7832363481,64425.6751824744
"117",1,60501,59563,57729.1080359506,63286.0529800334,56258.2735556628,64756.8874603212
"118",1,60284,60396,57510.323384051,63066.0469773349,56039.8121757922,64536.5581855937
"119",1,60550,61299,57775.5359119436,63329.7744207906,56305.4177817912,64799.8925509429
"120",1,61075,59633,58301.1292141095,63854.0459026615,56831.3609486555,65323.8141681155
"121",1,60571,62433,57797.4140445183,63349.5067460037,56327.8638752665,64819.0569152555
"122",1,61586,62265,58810.6997424418,64362.3927266587,57341.2553719602,65831.8370971403
"123",16,61978,63217,60191.2296408907,65833.6029749915,58697.7836316245,67327.0489842577
"124",1,62594,62839,59821.4579299233,65370.7941403874,58352.6373597732,66839.6147105375
"125",11,62713,62762,60539.7770120156,66143.2298213414,59056.6326433821,67626.3741899749
"126",14,62727,63616,60952.1154059075,66590.2369554192,59459.794776043,68082.5575852836
"127",1,63119,63728,60352.6805027672,65897.8151467502,58884.9720200885,67365.523629429
"128",1,63357,63595,60587.8017841847,66131.5653750826,59120.4561973368,67598.9109619305
"129",1,63406,63819,60639.9390099884,66182.2379617578,59172.9810897007,67649.1958820455
"130",14,63532,63203,60656.0254588063,66186.8411416522,59192.1069762038,67650.7596242546
"131",1,63315,62293,60551.6744580984,66091.0961165623,59085.4781113454,67557.2924633153
"132",1,62811,63105,60045.1032143083,65583.378555886,58579.2102793073,67049.271490887
"133",1,62937,62601,60171.8895097222,65708.7105784966,58706.3814974808,67174.2185907379
"134",3,62769,63595,59953.9675327348,65484.5095390648,58490.1214879306,66948.3555838691
"135",14,63140,63847,59812.7398930511,65295.4034691727,58361.5665032257,66746.5768589981
"136",1,63420,63119,60660.0221041464,66192.8148695549,59195.5803194,67657.2566543012
"137",1,63231,63707,60469.8449364356,66001.1913378292,59005.785981119,67465.2502931458
"138",1,63406,64393,60645.1306515201,66175.0720639076,59181.4435743299,67638.7591410978
"139",14,63798,62965,60761.1453188019,66265.0489034341,59304.3500383165,67721.8441839196
"140",1,63343,63553,60581.6742558634,66109.1951108289,59118.6278615221,67572.2415051702
"141",1,63392,65317,60633.5330049639,66159.5951840414,59170.8726988082,67622.2554901971
"142",1,64211,62440,61448.1557332439,66973.9112133257,59985.5766054089,68436.4903411608
"143",1,63301,62741,60545.349490805,66070.6289537039,59082.8963571076,67533.0820874014
"144",1,63014,63175,60258.1306464899,65782.0428385257,58796.0394075295,67244.134077486
"145",1,63077,64890,60318.2889297595,65840.7409405607,58856.5841774261,67302.4456928942
"146",1,63868,64491,61113.4022621723,66635.4157956215,59651.8135677834,68097.0044900104
"147",1,64064,63581,61310.6029467846,66831.2784300153,59849.3684128953,68292.5129639046
"148",1,63756,62699,60998.1473782099,66517.4269945515,59537.2823079684,67978.2920647929
"149",1,63217,62671,60459.2080871045,65977.3847540779,58998.6349499265,67437.9578912559
"150",15,62951,67144,63775.7420536837,69620.7455128094,62228.663090046,71167.8244764473
"151",15,64827,70273,66866.7322552911,72814.5094674347,65292.4507224128,74388.7910003126
"152",1,67116,64967,64356.2675775568,69885.0146877264,62892.8966130688,71348.3856522143
"153",15,65814,70224,68020.7462537076,73985.2639279047,66442.0337881762,75563.9763934356
"154",1,67564,67116,64803.2481556379,70336.624719711,63338.6518487191,71801.2210266295
"155",15,67004,68866,65108.0764927605,70714.644412559,63624.1076041904,72198.6133011297
"156",1,67536,67319,64771.6603524568,70303.2558139177,63307.5354749223,71767.3806914526
"157",15,67095,64519,64047.4824084115,69552.933476567,62590.2775337792,71010.1383511996
"158",1,65639,65513,62878.3776098657,68409.1482289437,61414.4710549222,69873.0547838872
"159",15,65408,66024,61634.0843395313,67074.057729631,60194.2103594,68513.9317097623
"160",16,65534,67697,64125.2691341556,69772.5152831303,62630.5333687006,71267.2510485852
"161",15,66346,63175,61097.6162273372,66409.592178675,59691.6211227776,67815.5872832345
"162",15,64701,66598,62977.6591142545,68599.6782168549,61489.6005446358,70087.7367864737
"163",1,65471,64953,62706.6057663355,68235.9336688629,61243.0810753963,69699.4583598021
"164",1,65093,66360,62334.4278131387,67862.3858757705,60871.2656969184,69325.5479919909
"165",1,65548,66381,62789.8756781789,68316.8777306641,61326.9666025594,69779.7868062836
"166",1,65779,66213,63017.6588457473,68543.4268328951,61555.0764074919,70006.0092711504
"167",1,65814,64988,63053.9293752858,68578.3054227844,61591.7153612007,70040.5194368698
"168",1,65282,64309,62527.0265985298,68050.160683272,61065.1413121294,69512.0459696724
"169",1,64736,68334,61977.7799053776,67499.7576235556,60516.2006907184,68961.3368382149
"170",1,66276,67039,63517.041277676,69041.6079626241,62054.7768049059,70503.8724353943
"171",1,66430,66528,63670.8898524894,69194.1931368806,62208.9597816471,70656.1232077232
"172",1,66276,65947,63519.3332918563,69041.1916546773,62057.7856686518,70502.7392778821
"173",1,65947,66619,63192.5130808873,68712.9576458737,61731.3396673653,70174.131059396
"174",1,66101,63847,63343.2148238692,68862.3563071137,61882.3863152501,70323.1848157328
"175",1,64932,64015,62179.0446167037,67698.3188618262,60718.1809681381,69159.1825103919
"176",1,64463,63105,61707.7913318685,67225.8893340129,60247.2390160131,68686.4416498683
"177",1,63833,63315,61079.721670091,66596.9518897119,59619.3990423951,68057.2745174078
"178",1,63630,63126,60877.7600286271,66393.6322686717,59417.7968364132,67853.5954608857
"179",1,63448,62524,60697.6148048476,66212.1264976494,59238.0117277359,67671.7295747611
"180",1,63098,64169,60342.6117570727,65855.9510501661,58883.3189954191,67315.2438118196
"181",16,63665,64274,61403.8794121797,66960.9085091706,59933.0226579625,68431.7652633877
"182",1,63973,62342,61222.4359283775,66733.3761959631,59763.7781504193,68192.0339739212
"183",1,63259,62965,60506.0229578218,66016.3529729586,59047.52670393,67474.8492268505
"184",14,63196,59920,58817.8348055024,64178.3444041338,57398.9936204774,65597.1855891589
"185",1,61803,61327,59054.2169966692,64565.037966904,57595.5907948123,66023.6641687608
"186",1,61775,63672,59024.1282351197,64533.5885021391,57565.8621896487,65991.85454761
"187",16,62804,63413,59971.4411094602,65472.9104654542,58515.290130376,66929.0614445384
"188",1,63175,62307,60422.9903504991,65930.8163065751,58965.1568810047,67388.6497760695
"189",1,62853,63133,60100.024591241,65606.6529907361,58642.5080958268,67064.1694861504
"190",1,63063,64015,60315.2219144999,65820.4377007574,58858.0793152243,67277.580300033
"191",14,63560,66227,60928.0538188577,66442.8664318507,59468.3710929825,67902.5491577258
"192",1,64778,64218,62030.2229159735,67535.0768797764,60573.1760853166,68992.1237104333
"193",1,64456,64526,61707.3537190997,67210.8747852641,60250.6596851368,68667.5688192269
"194",16,64442,65828,62896.6461832104,68505.902118796,61411.9658198386,69990.5824821679
"195",1,65016,65114,62272.2417511308,67773.5081770408,60816.1444843953,69229.6054437763
"196",1,64974,67214,62226.6615261576,67726.5076394892,60770.9401934531,69182.2289721937
"197",1,65891,66234,63145.8741433599,68645.8469034057,61690.1192892951,70101.6017574705
"198",1,65891,66262,63143.805769685,68642.3940591876,61688.4173628376,70097.7824660351
"199",1,65905,66017,63158.9685313651,68656.1788027444,61703.9448638827,70111.2024702271
"200",1,65807,63196,63060.2711849447,68556.0663258387,61605.6220798761,70010.7154309073
