"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",15,62909,64848,60776.0589689681,66332.278984897,59305.4163655722,67802.9215882929
"2",16,63588,63560,61600.1389788486,67285.3913815808,60095.3435656815,68790.1867947479
"3",15,63371,63336,62106.69040486,67857.2240818883,60584.6160821269,69379.2984046214
"4",15,63175,71694,67695.435919977,73981.7768413031,66031.5419863549,75645.6707749253
"5",15,66794,68978,65297.1929165218,71041.8978618545,63776.6613658768,72562.4294124996
"6",15,67312,65737,63603.5105210418,69154.2397136809,62134.3212507814,70623.4289839414
"7",1,66115,65688,63306.5577970386,68935.0896558377,61816.7754049824,70424.872047894
"8",1,65548,65527,62734.6957142952,68361.6779066083,61245.3234941812,69851.0501267223
"9",1,65212,65667,62403.7430581212,68029.1125531557,60914.7976931924,69518.0579180844
"10",1,65128,65744,62319.1516476563,67942.9792657277,60830.6143929077,69431.5165204762
"11",1,65128,65520,62321.3226843384,67943.6722454002,60833.1766476485,69431.8182820902
"12",1,65037,65114,62228.6857983182,67849.4718386425,60740.9536005693,69337.2040363913
"13",1,64820,64757,62011.8643052241,67631.0478982401,60524.5562496573,69118.3559538069
"14",1,64561,64505,61756.6942859603,67374.2719859058,60269.8112846136,68861.1549872525
"15",1,64337,63616,61531.0947853711,67147.0727933602,60044.6351969089,68633.5323818224
"16",1,63840,63343,61034.1791944599,66648.7280966599,59548.0978674511,68134.8094236688
"17",1,63483,63238,60682.8995120729,66295.9274355109,59197.2207638244,67781.6061837595
"18",1,63280,63168,60474.9427386121,66086.3948411121,58989.681084971,67571.6564947533
"19",1,63147,62475,60347.8980738383,65957.7520647395,58863.0594147863,67442.5907237916
"20",1,62783,61355,59982.8509857116,65591.2635567657,58498.3938474472,67075.7206950301
"21",1,62111,63147,59314.2023196105,64921.6968196912,57829.9881800542,66405.9109592474
"22",14,62594,62398,59666.8195186339,65260.7993136921,58186.1825054192,66741.4363269067
"23",1,62489,64316,59691.8375407635,65296.5121096847,58208.3697918992,66779.9798585491
"24",1,63294,63028,60494.9846997585,66099.1786280311,59011.6441687891,67582.5191590005
"25",1,63098,62237,60301.5520117497,65904.1796117333,58818.6260628355,67387.1055606475
"26",1,62657,61943,59860.7245909208,65462.0062148557,58378.1549003468,66944.5759054297
"27",14,62321,61523,60329.6983662529,66005.3176326693,58827.4526902505,67507.5633086716
"28",1,61978,61859,59180.4068479176,64778.8988733691,57698.575519461,66260.7302018258
