"","Event","Mean","data.frame(forecast_demand_withshock).Point.Forecast","data.frame(forecast_demand_withshock).Lo.80","data.frame(forecast_demand_withshock).Hi.80","data.frame(forecast_demand_withshock).Lo.95","data.frame(forecast_demand_withshock).Hi.95"
"1",1,63038,61940,60248.7051884478,65827.9296096244,58771.9736867854,67304.6611112868
"2",15,62297,62407,58183.251637828,65102.1097958812,56731.3919910503,66586.660465741
"3",15,62256,59528,59039.1534331782,65059.5805014689,57565.3445171675,66543.7059221733
"4",15,60961,59790,57562.8528691341,63765.2196210765,56093.6607963491,65249.5806161202
"5",15,60470,62840,57667.3640690365,67467.6917793116,56183.3069696681,69050.1029943
"6",1,61592,61976,58789.2898149203,64396.4616329523,57305.1610841432,65880.5903637295
"7",1,61734,61923,58932.1695509083,64537.7889784879,57448.4517130638,66021.5068163324
"8",1,61778,62758,58976.6966700417,64580.7187962625,57493.4016123287,66064.0138539755
"9",1,62170,63184,59368.9749197721,64971.7101918266,57886.0204717821,66454.6646398166
"10",1,62544,64593,59743.5569039558,65345.0374007821,58260.934574907,66827.659729831
"11",1,63347,63226,60546.6645595568,66147.9540133167,59064.0927965532,67630.5257763203
"12",1,63120,61810,60320.2740203364,65919.9673985903,58838.1247130007,67402.1167059261
"13",1,62388,63303,59589.6439271534,65188.3082485084,58107.7669947258,66670.185180936
"14",1,62711,62850,59913.0477106522,65510.3881217315,58431.5211961074,66991.9146362763
"15",1,62664,63009,59866.8987691877,65462.6565292132,58385.7911570729,66943.764141328
"16",1,62715,62265,59918.3135794296,65512.5105005694,58437.6190964126,66993.2049835864
"17",1,62411,60893,59615.4686970246,65208.1391561578,58135.1782440952,66688.4296090872
"18",16,61662,59590,55610.6172578051,64458.7659190296,54212.4178592765,65938.8375206662
"19",1,60734,61461,57938.561897356,63530.2511744616,56458.5311476218,65010.2819241958
"20",1,61130,59175,58335.1085309796,63925.3828878021,56855.452288022,65405.0391307596
"21",1,60299,60211,57504.213582771,63094.1806050309,56024.6386863584,64573.7555014436
"22",14,60368,61297,57402.6242001285,63162.6667135027,55927.8795066554,64641.8216230575
