"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2025.365",62540.3984805354,54528.6055959257,70552.191365145,50287.4186335979,74793.3783274728
"2025.385",62224.0914188911,54130.8464985409,70317.3363392413,49846.5414330602,74601.641404722
"2025.404",62890.2345853615,54716.3492512215,71064.1199195014,50389.3557292957,75391.1134414272
"2025.423",62356.0049001239,54102.2669850601,70609.7428151877,49733.0020602161,74979.0077400317
"2025.442",63163.1154459964,54830.2901336876,71495.9407583053,50419.1588696969,75907.072022296
"2025.462",62784.4143458082,54373.2452356103,71195.5834560062,49920.641270194,75648.1874214224
"2025.481",63692.0397914302,55203.2498944401,72180.8296884204,50709.5559665536,76674.5236163069
"2025.500",63266.0752981973,54700.3679701283,71831.7826262664,50165.9564137951,76366.1941825996
"2025.519",63193.4414710738,54551.5012870047,71835.3816551429,49976.734494381,76410.1484477666
"2025.538",63194.6543147951,54420.1347721917,71969.1738573985,49775.1847066118,76614.1239229784
"2025.558",63457.0836871182,54586.9347696397,72327.2326045967,49891.3615709137,77022.8058033227
"2025.577",63374.9183599557,54410.1601126318,72339.6766072796,49664.5037599809,77085.3329599305
"2025.596",63514.3671806522,54455.9876871844,72572.7466741201,49660.7712405244,77367.9631207801
"2025.615",62969.8475530755,53818.8045708578,72120.8905352932,48974.5350363273,76965.1600698238
"2025.635",63013.1060525737,53770.3285329581,72255.8835721893,48877.4976676978,77148.7144374496
"2025.654",63012.5866556886,53678.9761596464,72346.1971517308,48738.0612212058,77287.1120901714
"2025.673",62963.0851828804,53539.5172011367,72386.6531646241,48550.9816463101,77375.1887194506
"2025.692",63384.9375157777,53872.262701549,72897.6123300065,48836.5568389483,77933.3181926072
"2025.712",62938.3125273707,53337.3578490078,72539.2672057336,48254.9194492341,77621.7056055072
"2025.731",63108.8883574493,53420.4581775545,72797.318537344,48291.7130444487,77926.0636704498
"2025.750",63231.0491228748,53455.9262098157,73006.1720359338,48281.2887159212,78180.8095298283
"2025.769",63448.8796751539,53587.8261523233,73309.9331979844,48367.6997413941,78530.0596089137
"2025.788",62602.5536779329,52656.3119155965,72548.7954402693,47391.0895747125,77814.0177811533
"2025.808",62737.5744906446,52706.8679447645,72768.2810365247,47396.9326483784,78078.2163329107
"2025.827",62822.3154006955,52707.8494027162,72936.7813986747,47353.5745307407,78291.0562706503
"2025.846",62189.9543189384,51992.4168201598,72387.4918177169,46594.1665520145,77785.7420858623
"2025.865",62899.2501096903,52619.3123835311,73179.1878358495,47177.4420698987,78621.0581494819
"2025.885",63141.8994737054,52780.2167788711,73503.5821685397,47295.0732927573,78988.7256546534
