"Time","Emissions","Lo80","Hi80","Lo95","Hi95"
2024.00024981264,148.675453363473,147.106358207919,150.244548519027,146.275729407071,151.075177319875
2024.01948538596,149.722090873506,148.130508432026,151.313673314985,147.287975581079,152.156206165932
2024.03872095928,150.768728383538,149.154658656134,152.382798110942,148.300221755087,153.237235011989
2024.0579565326,151.815365893583,150.178808880253,153.451922906913,149.312467929107,154.318263858059
2024.07719210592,152.862003403615,151.202959104361,154.52104770287,150.324714103115,155.399292704116
2024.09642767924,153.908640913648,152.227109328468,155.590172498828,151.336960277124,156.480321550172
2024.11566325256,154.955278423681,153.251259552576,156.659297294785,152.349206451132,157.561350396229
2024.13489882588,156.001915933713,154.275409776683,157.728422090743,153.36145262514,158.642379242286
2024.1541343992,157.048553443746,155.299560000791,158.7975468867,154.373698799148,159.723408088343
2024.17336997252,158.095190953778,156.323710224898,159.866671682658,155.385944973156,160.8044369344
2024.19260554584,159.141828463823,157.347860449018,160.935796478628,156.398191147176,161.88546578047
2024.21184111916,160.188465973856,158.372010673125,162.004921274586,157.410437321185,162.966494626526
2024.23107669248,161.235103483888,159.396160897233,163.074046070543,158.422683495193,164.047523472583
2024.2503122658,162.281740993921,160.42031112134,164.143170866501,159.434929669201,165.12855231864
2024.26954783912,163.328378503953,161.444461345448,165.212295662459,160.447175843209,166.209581164697
2024.28878341244,164.375016013986,162.468611569555,166.281420458416,161.459422017217,167.290610010754
2024.30801898576,165.421653524031,163.492761793675,167.350545254386,162.471668191237,168.371638856824
2024.32725455908,166.468291034063,164.516912017782,168.419670050344,163.483914365246,169.452667702881
2024.3464901324,167.514928544096,165.54106224189,169.488794846302,164.496160539254,170.533696548937
2024.36572570572,168.561566054128,166.565212465997,170.557919642259,165.508406713262,171.614725394994
2024.38496127904,169.608203564161,167.589362690105,171.627044438217,166.52065288727,172.695754241051
2024.40419685236,170.654841074193,168.613512914212,172.696169234174,167.532899061278,173.776783087108
2024.42343242568,171.701478584226,169.637663138319,173.765294030132,168.545145235287,174.857811933165
2024.442667999,172.748116094271,170.661813362439,174.834418826102,169.557391409307,175.938840779235
2024.46190357232,173.794753604303,171.685963586546,175.90354362206,170.569637583315,177.019869625291
2024.48113914564,174.841391114336,172.710113810654,176.972668418017,171.581883757323,178.100898471348
2024.50037471896,175.888028624368,173.734264034761,178.041793213975,172.594129931331,179.181927317405
2024.51961029228,176.934666134401,174.758414258869,179.110918009933,173.606376105339,180.262956163462
2024.5388458656,177.981303644433,175.782564482976,180.18004280589,174.618622279348,181.343985009519
2024.55808143892,179.027941154478,176.806714707096,181.24916760186,175.630868453368,182.425013855589
2024.57731701224,180.074578664511,177.830864931203,182.318292397818,176.643114627376,183.506042701645
2024.59655258556,181.121216174543,178.855015155311,183.387417193776,177.655360801384,184.587071547702
2024.61578815888,182.167853684576,179.879165379418,184.456541989733,178.667606975392,185.668100393759
2024.6350237322,183.214491194608,180.903315603526,185.525666785691,179.6798531494,186.749129239816
2024.65425930552,184.261128704641,181.927465827633,186.594791581648,180.692099323409,187.830158085873
2024.67349487884,185.307766214673,182.951616051741,187.663916377606,181.704345497417,188.91118693193
2024.69273045216,186.354403724718,183.97576627586,188.733041173576,182.716591671437,189.992215777999
2024.71196602548,187.401041234751,184.999916499968,189.802165969534,183.728837845445,191.073244624056
2024.7312015988,188.447678744783,186.024066724075,190.871290765491,184.741084019453,192.154273470113
2024.75043717212,189.494316254816,187.048216948183,191.940415561449,185.753330193461,193.23530231617
2024.76967274544,190.540953764848,188.07236717229,193.009540357406,186.76557636747,194.316331162227
2024.78890831876,191.587591274881,189.096517396398,194.078665153364,187.777822541478,195.397360008284
2024.80814389208,192.634228784926,190.120667620517,195.147789949334,188.790068715498,196.478388854354
2024.8273794654,193.680866294958,191.144817844625,196.216914745292,189.802314889506,197.55941770041
2024.84661503872,194.727503804991,192.168968068732,197.286039541249,190.814561063514,198.640446546467
2024.86585061204,195.774141315023,193.19311829284,198.355164337207,191.826807237522,199.721475392524
2024.88508618536,196.820778825056,194.217268516947,199.424289133165,192.839053411531,200.802504238581
2024.90432175868,197.867416335088,195.241418741054,200.493413929122,193.851299585539,201.883533084638
2024.923557332,198.914053845133,196.265568965174,201.562538725092,194.863545759559,202.964561930708
2024.94279290532,199.960691355166,197.289719189282,202.63166352105,195.875791933567,204.045590776764
2024.96202847864,201.007328865198,198.313869413389,203.700788317008,196.888038107575,205.126619622821
2024.98126405196,202.053966375231,199.338019637496,204.769913112965,197.900284281583,206.207648468878
2025.00049962528,203.100683546443,200.362083784898,205.839283307989,198.912356642548,207.289010450338
2025.0197351986,204.150388011901,201.382920055812,206.917855967989,199.917911014381,208.38286500942
2025.03897077192,205.200092477358,202.403756326726,207.99642862799,200.923465386214,209.476719568502
2025.05820634524,206.249796942828,203.424592597652,209.075001288004,201.929019758058,210.570574127597
2025.07744191856,207.299501408285,204.445428868566,210.153573948004,202.934574129891,211.664428686679
2025.09667749188,208.349205873742,205.46626513948,211.232146608005,203.940128501724,212.758283245761
2025.1159130652,209.3989103392,206.487101410394,212.310719268005,204.945682873557,213.852137804843
2025.13514863852,210.448614804657,207.507937681308,213.389291928006,205.951237245389,214.945992363925
2025.15438421184,211.498319270114,208.528773952222,214.467864588007,206.956791617222,216.039846923007
2025.17361978516,212.548023735584,209.549610223148,215.54643724802,207.962345989067,217.133701482102
2025.19285535848,213.597728201042,210.570446494062,216.625009908021,208.967900360899,218.227556041184
2025.2120909318,214.647432666499,211.591282764976,217.703582568021,209.973454732732,219.321410600266
