"","Event","Mean","data.frame(forecast_demand_withshock).Point.Forecast","data.frame(forecast_demand_withshock).Lo.80","data.frame(forecast_demand_withshock).Hi.80","data.frame(forecast_demand_withshock).Lo.95","data.frame(forecast_demand_withshock).Hi.95"
"115",1,58559,59435,55788.1863266846,61330.7222738116,54321.1656775149,62797.7429229814
"116",1,59115,59563,56345.2557540292,61886.5393031653,54878.5665945838,63353.2284626107
"117",1,59428,59348,56658.7934045114,62198.6458334224,55192.4830397083,63664.9561982255
"118",1,59476,58273,56707.5256767518,62245.8858359162,55241.6102918918,63711.8012207762
"119",1,59020,58408,56251.7176754343,61789.0513562917,54786.0739829704,63254.6950487557
"120",1,58864,61801,56096.9435584397,61632.9073005829,54631.6624668503,63098.1883921722
"121",1,60293,59636,57524.8486203976,63062.0664085795,56059.2356028719,64527.6794261052
"122",1,59999,59952,57231.1001758017,62766.967428521,55765.8446234202,64232.2229809026
"123",1,60001,61718,57234.3159552321,62768.6954294845,55769.4541940236,64233.5571906931
"124",1,60784,60649,58017.3019324501,63551.1313641575,56552.585758709,65015.8475378987
"125",16,60676,62389,58991.8403488083,64627.5001220956,57500.1713117507,66119.1691591532
"126",1,61397,61188,58631.8142030981,64163.6132296965,57167.6354451265,65627.7919876681
"127",1,61204,60008,58439.4927977413,63969.8206912211,56975.7034251852,65433.6100637773
"128",1,60593,61895,57829.2476441861,63358.5488307033,56365.7300245477,64822.0664503417
"129",1,61145,60806,58381.3536878852,63909.7112848922,56918.0858213036,65372.9791514738
"130",1,60922,62246,58158.8886249767,63685.8021512644,56696.0029808263,65148.6877954148
"131",1,61457,63598,58694.01172394,64220.0026262229,57231.3702836124,65682.6440665506
"132",1,62307,62514,59544.6727527457,65070.6433756036,58082.0366800576,66533.2794482916
"133",1,62228,60245,59466.236194206,64990.7428479623,58003.9876107326,66452.9914314356
"134",1,61189,61980,58427.8423327246,63952.1209710508,56965.65410129,65414.3092024854
"135",14,61476,58816,57684.3846524621,63110.4688949234,56248.186907646,64546.6666397395
"136",1,60210,59321,57449.0802304032,62972.8530826718,55987.0258724514,64434.9074406236
"137",1,59843,57535,57082.5209434473,62605.0716214084,55620.7900754942,64066.8024893615
"138",1,58879,59746,56118.2126421676,61640.9825725374,54656.4237416073,63102.7714730977
"139",14,59408,59669,57473.3471986914,63075.3898237247,55990.5760832937,64558.1609391224
"140",1,59617,59730,56857.3042377126,62377.388898854,55396.2260849841,63838.4670515826
"141",1,59766,59205,57005.8233650882,62526.4825487894,55544.5931454238,63987.7127684538
"142",1,59562,59197,56804.2927718045,62321.5339116691,55343.9672536947,63781.8594297789
"143",1,59491,59560,56732.7772354093,62250.6284877811,55272.2902302735,63711.115492917
"144",1,59593,58880,56835.9678592683,62350.3196180682,55376.4071141298,63809.8803632067
"145",1,59345,58334,56588.724668293,62101.7737049294,55129.5087328829,63560.9896403395
"146",1,58986,59694,56230.1716445451,61742.0766306638,54771.2585210154,63200.9897541934
"147",1,59418,57981,56662.782774631,62173.3872327492,55204.2138800698,63631.9561273104
"148",1,58858,57899,56103.2196842626,61613.0162781017,54644.8646184597,63071.3713439046
"149",1,58558,60084,55803.8694312799,61312.4961279533,54345.824018552,62770.5415406812
"150",15,59382,58166,54017.4539825038,59271.3487675105,52626.8320340498,60661.9707159645
"151",16,58915,59220,55521.404488151,60965.4892365581,54080.4422972096,62406.4514274995
"152",15,59161,59377,57597.0555218449,63218.4756350711,56109.1554951367,64706.3756617793
"153",15,59344,58765,56757.3138373626,62277.4310681869,55296.2270639598,63738.5178415898
"154",15,59156,54956,52195.6972470113,57287.7505670993,50847.9121467423,58635.5356673683
"155",1,57378,58015,54625.5288588102,60132.3358199198,53167.9651009915,61589.8995777385
"156",1,57900,58777,55147.9674871431,60653.4424447614,53690.7562893519,62110.6536425526
"157",1,58476,56856,55724.0865216711,61228.3480330753,54267.1965036919,62685.2380510546
"158",15,57890,66364,62866.5940400227,69141.5847775261,61205.7043185877,70802.474498961
"159",15,61812,57706,54905.4246210719,60042.3857570696,53545.7531399338,61402.0572382077
"160",15,59828,62588,59845.4831103287,65643.4014439194,58310.8668266063,67178.0177276418
"161",15,61046,61603,57922.621713682,63418.0018091722,56468.0824644959,64872.5410583583
"162",1,61190,61029,58426.9573212882,63955.0237005233,56963.7665353947,65418.2144864168
"163",1,61009,60412,58245.8830388502,63772.5119038167,56783.0727400002,65235.3222026667
"164",1,60656,58845,57894.0013362941,63419.2836715182,56431.5474423381,64881.7375654742
"165",1,59803,59569,57041.002994611,62565.8651642761,55578.6603117607,64028.2078471264
"166",1,59719,59030,56957.5714921977,62481.0003618626,55495.6081809413,63942.963673119
"167",1,59442,59259,56681.7751385735,62203.902456867,55220.1563271555,63665.521268285
"168",1,59412,59180,56652.1130095748,62172.7957306509,55190.8765599435,63634.0321802822
"169",8,59361,51673,49253.9154876176,54056.6684828839,47982.7035578925,55327.880412609
"170",1,56041,55716,53273.6893303608,58809.9266545275,51808.3358259839,60275.2801589044
"171",1,56245,56826,53477.9473971726,59012.7692172101,52012.9685541072,60477.7480602755
"172",16,56822,57187,55255.076664518,60911.2780148696,53757.9706004375,62408.3840789501
"173",1,57245,58190,54479.9044442372,60011.9692990004,53015.6553258006,61476.2184174371
"174",1,57880,58362,55114.9893170936,60645.8839792784,53651.0499299229,62109.823366449
"175",1,58250,57171,55485.8865364058,61015.4029943273,54022.3119378685,62478.9775928646
"176",1,57896,57495,55132.550153956,60660.9848423287,53669.2618825225,62124.2731137622
"177",1,57869,56967,55106.1599369787,60633.2011053455,53643.2405080106,62096.1205343135
"178",1,57621,56655,54858.2188520532,60384.0708297562,53395.6141828407,61846.6754989687
"179",1,57362,57310,54600.3092774135,60125.0137545837,53138.0083332453,61587.3146987519
"180",1,57524,57531,54762.9985897377,60286.2599331337,53301.0796200062,61748.1789028651
"181",1,57693,58836,54932.9800377564,60454.7984347812,53471.442992859,61916.3354796785
"182",1,58342,58422,55582.4632599785,61103.2475754045,54121.1999199471,62564.5109154359
"183",1,58463,58673,55704.1477837917,61223.4959852833,54243.2645601577,62684.3792089173
"184",1,58630,58815,55871.1668502526,61389.0856057485,54410.6619781191,62849.590477882
"185",1,58767,59185,56009.5800311611,61526.076128513,54549.4517138923,62986.2044457817
"186",1,58993,57241,56236.3772262607,61751.4971487398,54776.6131604781,63211.2612145224
"187",1,58246,59532,55488.908019647,61003.5461038177,54029.2714887608,62463.1826347039
"188",1,58898,58116,56141.9884649975,61655.7011228487,54682.5968796619,63115.0927081842
"189",1,58582,59261,55826.0991028163,61338.5760845588,54367.0345811903,62797.6406061848
"190",16,58935,61794,57350.5095206987,62976.5453898034,55861.3877772078,64465.6671332943
"191",1,60212,60933,57456.8544015802,62969.1267924541,55997.8440318861,64428.1371621482
"192",1,60437,60750,57682.3346846483,63193.3367208088,56223.6605575359,64652.0108479212
"193",1,60465,61542,57710.789850238,63220.3931487001,56252.4859466309,64678.6970523072
"194",1,60829,62066,58074.7453967967,63583.2845653684,56616.7231513579,65041.3068108072
"195",1,61234,62405,58480.2940570131,63987.8777717722,57022.5247049224,65445.6471238629
"196",1,61578,60269,58824.7777682588,64331.3578920219,57367.274050659,65788.8616096218
"197",1,60804,60643,58051.714514349,63557.4004014975,56594.4474868836,65014.6674289628
"198",1,60609,59546,57856.9505931466,63361.2219180495,56400.0579776911,64818.114533505
"199",1,60037,60818,57285.7482016831,62788.9474193374,55829.1393558751,64245.5562651454
"200",1,60329,58973,57578.7940520466,63080.7590099833,56122.5118950521,64537.0411669778
"201",1,59657,61169,56907.431038576,62408.5447927219,55451.3741816155,63864.6016496824
"202",4,60307,57289,55215.8481946056,60492.4606537498,53819.2132410255,61889.0956073299
"203",1,58911,58784,56160.4794088746,61662.2644344842,54704.2448770902,63118.4989662685
"204",16,58910,56837,55332.6444487743,60751.989112965,53898.2305625717,62186.4029991676
"205",15,58053,56226,54128.2492738479,59511.6863202452,52703.3395599715,60936.5960341217
"206",15,57378,60674,58564.6007488494,64460.7832047526,57003.9755230326,66021.4084305694
"207",15,59011,59886,55065.0135703644,60449.9042858953,53639.7190935101,61875.1987627497
"208",15,59431,57586,56225.2138746705,61681.6143877155,54780.9918977382,63125.8363646478
"209",15,58618,55502,52169.5536474221,57305.6247728685,50810.117737847,58665.0606824435
"210",15,57320,54039,50000.1726146509,55041.266667569,48665.875617647,56375.563664573
"211",15,56059,53531,50976.6407453522,56239.6644635536,49583.6025142382,57632.7026946677
"212",3,55234,53728,50963.8375986537,56308.840238973,49549.1008575631,57723.5769800635
"213",15,54925,55595,51507.7436978771,56941.0005287794,50069.6474835787,58379.0967430778
"214",15,55598,52057,50514.1794556465,55773.5348980555,49122.112158485,57165.602195217
"215",1,54393,55109,51639.461480212,57146.8570327503,50181.7419316526,58604.5765813096
"216",1,55088,56005,52336.6602986628,57840.1377886127,50879.9777986273,59296.8202886482
"217",1,55827,56107,53076.8260149267,58579.1485872714,51620.4492031161,60035.5253990821
