"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",15,62909,64582,61741.7405099647,67386.2442875938,60247.7306063589,68880.2541911996
"2",15,63469,63672,61619.0322729303,67316.7750824827,60110.9308487789,68824.876506634
"3",15,63364,64610,61360.2720368462,67041.8908734324,59856.4383705432,68545.7245397354
"4",15,63735,62797,60217.7897703625,65758.327697837,58751.2979650497,67224.8195031498
"5",1,63112,64260,60314.1445171902,65919.6594161676,58830.4543463955,67403.3495869623
"6",15,63476,66269,63731.2546119052,69617.9118093287,62173.1505697147,71176.0158515189
"7",1,64540,65310,61739.5279365241,67344.8935827722,60255.8772705405,68828.5442487558
"8",1,64617,63245,61821.2085049814,67425.1669167455,60337.9303114664,68908.4451102605
"9",1,63749,63546,60948.2486570279,66551.2370243927,59465.227218756,68034.2584626647
"10",1,63476,65233,60677.6295146202,66279.0253155802,59195.029603213,67761.6252269874
"11",1,64099,63483,61303.6813263148,66904.5089018408,59821.231815095,68386.9584130606
"12",1,63623,64253,60826.3555687635,66425.7099829092,59344.2959798076,67907.769571865
"13",1,63742,61544,60948.1973373582,66546.0854350323,59466.5258589284,68027.7569134621
"14",16,62601,62237,58633.8880538394,64121.9336729745,57181.2901232782,65574.5316035356
"15",1,62377,61474,59581.4918837103,65177.8487387389,58100.2257007267,66659.1149217224
"16",1,61936,61845,59138.7448447097,64733.7816758969,57657.828050932,66214.6984696747
"17",1,61887,59969,59096.3545280816,64689.7966990362,57615.8598153715,66170.2914117464
"18",1,61040,60767,58244.1562474033,63837.2411168303,56763.7561066948,65317.6412575388
"19",1,60991,61180,58197.5736102098,63789.0904450127,56717.588503196,65269.0755520266
"20",1,61152,60347,58357.5858304349,63947.5232403533,56878.0187719356,65427.0902988526
"21",1,60851,61229,58061.939435798,63650.5071407182,56582.7349163124,65129.7116602038
"22",16,61103,60088,57231.4708589337,62714.8702943592,55780.1026989158,64166.2384543771
"23",1,60711,61838,57923.2767207107,63509.052163271,56444.8112684282,64987.5176155535
"24",1,61306,61628,58514.8821300451,64099.4963070116,57036.7240461985,65577.6543908582
"25",1,61488,62349,58698.6081402016,64281.6739404908,57220.8598869055,65759.4221937869
"26",1,61894,60907,59104.1539662377,64685.8811641913,57626.7600195777,66163.2751108513
"27",1,61439,61684,58655.4008137169,64235.8704405216,57178.3397260335,65712.931528205
"28",1,61572,62580,58789.368823845,64368.2766167178,57312.7211286322,65844.9243119305
"29",1,62034,62713,59249.2751192053,64826.9392803576,57772.9565934254,66303.2578061375
"30",1,62307,60718,59524.7874996703,65101.0228765892,58048.847150233,66576.9632260265
"31",16,61558,62923,58728.8673820069,64300.3836150617,57254.1761144991,65775.0748825695
"32",14,62181,61271,58709.3035682849,64219.5605350494,57250.8266491293,65678.037454205
"33",1,61740,62286,58956.1707831181,64529.4202008856,57481.0207693275,66004.5702146761
"34",1,61985,62825,59200.6097115956,64772.386029472,57725.8496037939,66247.1461372736
"35",1,62335,61061,59554.5107815325,65124.942518236,58080.1065628696,66599.3467368989
"36",1,61719,61894,58941.1667115373,64510.5785841251,57467.0324345999,65984.7128610625
"37",14,61803,63819,60602.8746049788,66319.8224505308,59089.6899148553,67833.0071406543
"38",1,62692,60963,59912.5102138454,65480.1388304482,58438.8479362558,66953.8011080378
"39",1,61845,61355,59068.3379883823,64635.3962495293,57594.8266747629,66108.9075631487
"40",1,61628,62748,58845.8018151935,64411.3675165925,57372.6855582758,65884.4837735101
"41",1,62139,62531,59357.5895322563,64922.0058221085,57884.7775061978,66394.817848167
"42",1,62279,63749,59503.3137818161,65066.2213993361,58030.9010772028,66538.6341039494
"43",1,62888,62664,60111.5329337876,65673.5860712681,58639.3463963789,67145.7726086768
"44",1,62699,64043,59920.1778258504,65480.6921145337,58448.3985971147,66952.4713432694
"45",1,63217,61691,60442.2444841679,66001.795762169,58970.7201489629,67473.320097374
"46",15,62426,66227,64250.6836063459,70238.1984649443,62665.8841537905,71822.9979174995
"47",15,64057,64029,60671.9532136316,66178.5562197705,59214.4434394327,67636.0659939693
"48",16,63861,64092,61952.3025844771,67591.7278342615,60459.6368859944,69084.3935327442
"49",15,63798,65779,62753.4045810848,68469.8961754224,61240.340653363,69982.9601031441
"50",15,64519,64225,61578.49311607,67122.1229113385,60111.1829427859,68589.4330846224
"51",15,64176,63602,61258.8467654423,66802.9017936765,59791.4240397909,68270.3245193278
"52",15,63742,66052,62845.8559290789,68572.3393442344,61330.1473261394,70088.0479471739
"53",15,64631,63364,62049.9743490145,67623.4217827327,60574.7719235678,69098.6242081794
"54",15,63861,67704,64896.2385719166,70797.4269038134,63334.2883707599,72359.3771049702
"55",15,65422,68026,65929.0529475064,71778.5087619348,64380.7955166058,73326.7661928361
"56",9,66311,65583,62410.4661445744,67871.1119342449,60965.1205107945,69316.4575680249
"57",15,65653,65576,62253.8656673068,67756.1406150036,60797.501460979,69212.5048213314
"58",15,65352,69888,66165.6537540263,72040.4656898556,64610.6849631937,73595.4344806884
"59",1,67123,65800,64343.5337567425,69904.6740806843,62871.5888264832,71376.6190109434
"60",1,66157,66920,63379.8862393077,68940.0456794697,61908.2009333021,70411.7309854749
"61",1,66206,65884,63429.7603085891,68988.5678130762,61958.4328383415,70459.8952833237
"62",1,65779,65485,63001.0343150682,68558.3279034909,61530.1075541977,70029.2546643613
"63",1,65401,66472,62628.537829979,68184.3162233668,61158.0121170089,69654.8419363369
"64",1,65667,65058,62894.9026711923,68449.5160893862,61424.68530853,69919.7334520485
"65",1,65177,66150,62402.0124974731,67955.2092861879,60932.1700939844,69425.0516896766
"66",1,65429,65548,62653.9974589855,68205.9593881682,61184.4819030715,69675.4749440821
"67",1,65289,65254,62514.0198539072,68064.4495112432,61044.9098658524,69533.5594992979
"68",1,65093,66388,62321.8660729545,67870.7573062217,60853.1632811539,69339.4600980222
"69",1,65506,64568,62736.6637402429,68284.5709888744,61268.2213934432,69753.0133356742
"70",1,64904,64106,62135.040396217,67681.7039126122,60666.9272454549,69149.8170633742
"71",1,64414,64043,61648.1623052515,67193.4959143567,60180.401159686,68661.2570599222
"72",1,64162,65149,61392.2233595604,66936.0683772787,59924.856220335,68403.4355165041
"73",1,64526,65177,61760.5766499321,67303.2079716835,60293.5307566241,68770.2538649916
"74",1,64715,64435,61950.8792712585,67492.1192021827,60484.2016568564,68958.7968165848
"75",1,64484,64008,61716.4759693699,67256.2118459798,60250.1964540974,68722.4913612523
"76",1,64183,66857,61419.9481711477,66958.2326276862,59954.0528235622,68424.1279752716
"77",1,65303,66045,62536.8171116606,68075.9078818042,61070.7083457555,69542.0166477092
"78",1,65478,66108,62712.9909007829,68250.7346985496,61247.2386569302,69716.4869424024
"79",1,65597,63875,62830.2026896799,68366.5550986726,61364.8187241896,69831.9390641629
"80",16,64666,69160,64695.8253354822,70481.4040893242,63164.4751412296,72012.7542835771
"81",14,66563,68943,65696.3106207836,71402.3917143698,64186.0021861639,72912.7001489894
"82",1,67375,69944,64607.3565082839,70148.5331276317,63140.6956514438,71615.1939844719
"83",1,68215,69587,65445.8404512351,70987.6458312196,63979.0131715072,72454.4731109479
"84",1,68460,67452,65695.930255777,71236.8304437566,64229.3425659004,72703.418133633
"85",14,67641,68075,65539.2923590488,71135.7112602353,64058.0097534392,72616.9938658451
"86",1,67536,67228,64770.2732456129,70308.5196759344,63304.3879629592,71774.4049585878
"87",1,67123,64743,64355.1954247807,69891.9588787223,62889.7026622644,71357.4516412387
"88",1,65828,65562,63059.6108728084,68596.6873831893,61594.0352492578,70062.2630067395
"89",1,65576,64351,62814.6629577314,68350.2441211259,61349.4831286201,69815.4239502373
"90",1,64932,65156,62165.2178023866,67699.7744989894,60700.3091332555,69164.6831681205
"91",1,64981,64414,62215.5887152353,67748.6443112123,60751.0773634397,69213.1556630079
"92",1,64673,64015,61913.3022116795,67444.9477837771,60449.1640706608,68909.0859247958
