"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",15,62909,62286,59305.4309251325,64727.2043660158,57870.3741805715,66162.2611105767
"2",1,62447,64540,59646.9555404696,65255.5560508019,58162.4486576832,66740.0629335884
"3",15,63273,67718,64696.4986813766,70697.0040384041,63108.2608515838,72285.2418681974
"4",15,65072,64722,62471.1676841438,68102.8587338163,60980.5491047737,69593.4773131864
"5",16,64596,65373,63611.0507303438,69388.299937112,62081.9052340259,70917.4454334297
"6",15,64666,62818,60784.8389276722,66297.5533893634,59325.7115489008,67756.6807681348
"7",1,63567,62944,60767.9541819607,66377.9945773554,59283.0661846195,67862.8825746966
"8",1,63119,61929,60316.2085969735,65924.7784097249,58831.7098393458,67409.2771673526
"9",1,62454,61320,59656.5716240172,65264.0042108849,58172.3738718985,66748.2019630036
"10",1,61880,60256,59079.9782280476,64686.245265443,57596.0889782391,66170.1345152516
"11",1,61138,61677,58338.2392056636,63943.7862956869,56854.5405144137,65427.4849869368
"12",1,61425,63028,58623.6932196238,64227.7335376775,57140.3933468234,65711.0334104778
"13",1,62153,60921,59356.2861527498,64959.5865700713,57873.1821198434,66442.6906029776
"14",1,61558,63840,58763.6775320469,64365.8834814703,57280.8631872945,65848.6978262228
"15",6,62580,67179,64218.362260655,70236.3672811437,62625.4925497348,71829.2369920636
"16",1,64547,64400,61744.8243104692,67352.6350181988,60260.5264758039,68836.932852864
"17",1,64232,63532,61430.0848506761,67036.3038841388,59946.208306741,68520.1804280739
"18",1,63700,64015,60902.8776112948,66507.6625333316,59419.380653725,67991.1594909013
"19",1,63672,62573,60876.7618242253,66479.9834404801,59393.6786487014,67963.0666160041
"20",1,63021,61586,60226.5304254246,65828.5600928691,58743.7627396934,67311.3277786002
"21",16,62286,60312,57004.1274924713,62371.485958984,55583.4735216203,63792.139929835
"22",1,61369,62916,58575.1830125686,64176.0204037066,57092.7309033133,65658.4725129619
"23",1,62104,61187,59310.7247757439,64910.7585081138,57828.4853821153,66392.9979017423
"24",1,61677,62496,58884.1700413289,64482.898193583,57402.2762138828,65964.792021029
"25",1,62062,61887,59267.6347523025,64864.9928122401,57786.1035663871,66346.5239981555
"26",1,61971,62636,59176.1185532115,64771.8997298316,57695.0047430985,66253.0135399445
"27",16,62258,61726,59225.5385842112,64797.1686811287,57750.8171787594,66271.8900865805
"28",1,61992,62440,59198.9352033182,64791.7873704186,57718.596655195,66272.1259185418
"29",1,62181,62125,59391.6800468676,64983.0088367884,57911.7447123276,66462.9441713285
"30",1,62132,61257,59342.9468277133,64932.6996960458,57863.4286144214,66412.2179093377
"31",1,61726,63035,58934.9552380595,64523.3848972548,57455.7872570702,66002.5528782441
"32",1,62328,63007,59535.175699914,65122.5950498753,58056.2751316258,66601.4956181636
"33",1,62594,61012,59803.6184280228,65389.6128242324,58325.0950222099,66868.1362300453
"34",1,61831,63609,59043.0065392627,64628.2547743931,57564.6806303576,66106.5806832982
"35",1,62629,62748,59842.5189326098,65427.2340474776,58364.3341321144,66905.4188479729
"36",1,62622,62559,59834.7367982602,65417.8810772832,58356.967772898,66895.6501026455
"37",1,62538,61439,59748.9501229429,65330.521893643,58271.597315392,66807.8747011939
"38",1,61999,62013,59212.8322271753,64793.2335574553,57735.7892164901,66270.2765681405
"39",1,62006,62216,59218.3999139277,64797.2280521509,57741.7733020272,66273.8546640514
"40",1,62097,61341,59311.6417388706,64888.9144816026,57835.4268152884,66365.1294051849
"41",1,61754,60914,58966.8625820771,64542.7591747775,57491.0119034059,66018.6098534486
"42",1,61397,61040,58616.1609369384,64190.7235401237,57140.6633439636,65666.2211330986
"43",1,61292,60830,58507.8721145016,64080.9119751764,57032.7775671231,65556.0065225549
"44",1,61145,60088,58362.9890371224,63934.535689541,56888.2897180954,65409.2350085681
"45",1,60746,60424,57964.0423540631,63534.3976238889,56489.6583749601,65008.7816029919
"46",1,60704,60368,57925.9520305426,63494.7786371599,56451.9726641501,64968.7580035525
"47",1,60662,61810,57880.3268251517,63447.6321886135,56406.7501075003,64921.208906265
