"Week","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
45,4.1543832907906,4.05878814460106,4.24997843698014,4.00818313102666,4.30058345055453
46,4.17964800261009,4.08292376036783,4.27637224485235,4.03172103944791,4.32757496577226
47,4.20491271442958,4.10705584377265,4.3027695850865,4.05525354558775,4.3545718832714
48,4.23017742624906,4.13118439479978,4.32917045769835,4.07878064942206,4.38157420307606
49,4.25544213806855,4.15530941380791,4.3555748623292,4.1023023514995,4.40858192463761
50,4.28070684988804,4.17943090150927,4.38198279826681,4.12581865290928,4.4355950468668
51,4.30597156170753,4.20354885894951,4.40839426446555,4.14932955525057,4.46261356816449
52,4.33123627352702,4.22766328748909,4.43480925956495,4.17283506060402,4.48963748645001
53,4.35650098534651,4.25177418878541,4.4612277819076,4.19633517150449,4.51666679918852
54,4.381765697166,4.27588156477642,4.48764982955557,4.21982989091565,4.54370150341634
55,4.40703040898548,4.29998541766451,4.51407540030646,4.2433192222059,4.57074159576506
56,4.43229512080497,4.3240857499019,4.54050449170804,4.2668031691256,4.59778707248434
57,4.45755983262446,4.34818256417656,4.56693710107236,4.29028173578552,4.6248379294634
58,4.48282454444395,4.37227586339881,4.5933732254891,4.3137549266367,4.6518941622512
59,4.50808925626344,4.39636565068889,4.61981286183799,4.33722274645117,4.67895576607571
60,4.53335396808293,4.42045192936512,4.64625600680073,4.36068520030377,4.70602273586208
61,4.55861867990242,4.44453470293262,4.67270265687221,4.38414229355515,4.73309506624968
62,4.5838833917219,4.46861397507265,4.69915280837116,4.40759403183534,4.76017275160847
63,4.60914810354139,4.49268974963271,4.72560645745008,4.43104042102859,4.7872557860542
64,4.63441281536088,4.51676203061691,4.75206360010485,4.4544814672586,4.81434416346317
65,4.65967752718037,4.54083082217695,4.77852423218379,4.47791717687488,4.84143787748587
66,4.68494223899986,4.56489612860366,4.80498834939606,4.50134755643966,4.86853692156006
67,4.71020695081935,4.58895795431882,4.83145594731987,4.52477261271553,4.89564128892317
68,4.73547166263884,4.61301630386756,4.85792702141011,4.54819235265366,4.92275097262401
69,4.76073637445833,4.63707118191109,4.88440156700556,4.57160678338268,4.94986596553397
70,4.78600108627781,4.66112259321965,4.91087957933598,4.59501591219813,4.9769862603575
71,4.8112657980973,4.68517054266621,4.9373610535284,4.61841974655248,5.00411184964212
72,4.83653050991679,4.70921503521998,4.96384598461361,4.64181829404563,5.03124272578795
73,4.86179522173628,4.73325607594079,4.99033436753177,4.66521156241574,5.05837888105682
74,4.88705993355577,4.75729366997324,5.01682619713829,4.68859955953092,5.08552030758062
75,4.91232464537526,4.78132782254155,5.04332146820897,4.71198229338091,5.11266699736961
76,4.93758935719475,4.80535853894443,5.06982017544507,4.73535977206932,5.13981894232017
77,4.96285406901423,4.82938582455028,5.09632231347819,4.75873200380652,5.16697613422195
78,4.98811878083372,4.85340968479269,5.12282787687476,4.78209899690236,5.19413856476509
79,5.01338349265321,4.87743012516599,5.14933686014043,4.80546075975979,5.22130622554663
80,5.0386482044727,4.90144715122133,5.17584925772407,4.82881730086844,5.24847910807696
81,5.06391291629219,4.92546076856248,5.2023650640219,4.85216862879866,5.27565720378572
82,5.08917762811168,4.94947098284236,5.22888427338099,4.87551475219578,5.30284050402758
83,5.11444233993117,4.97347779975936,5.25540688010297,4.89885567977475,5.33002900008758
84,5.13970705175065,4.99748122505402,5.28193287844729,4.92219142031498,5.35722268318633
85,5.16497176357014,5.02148126450583,5.30846226263446,4.94552198265537,5.38442154448492
86,5.19023647538963,5.04547792393011,5.33499502684915,4.96884737568978,5.41162557508948
87,5.21550118720912,5.06947120917518,5.36153116524306,4.99216760836241,5.43883476605583
88,5.24076589902861,5.09346112611964,5.38807067193758,5.01548268966379,5.46604910839343
89,5.2660306108481,5.11744768066963,5.41461354102656,5.03879262862656,5.49326859306964
90,5.29129532266759,5.14143087875637,5.4411597665788,5.06209743432179,5.52049321101338
91,5.31656003448708,5.16541072633387,5.46770934264028,5.08539711585529,5.54772295311886
92,5.34182474630656,5.1893872293765,5.49426226323663,5.1086916823641,5.57495781024902
93,5.36708945812605,5.21336039387696,5.52081852237514,5.13198114301334,5.60219777323876
94,5.39235416994554,5.23733022584425,5.54737811404683,5.15526550699285,5.62944283289823
95,5.41761888176503,5.26129673130159,5.57394103222847,5.17854478351443,5.65669298001563
96,5.44288359358452,5.28525991628464,5.6005072708844,5.20181898180885,5.68394820536019
97,5.46814830540401,5.30921978683977,5.62707682396825,5.22508811112314,5.71120849968488
98,5.4934130172235,5.33317634902226,5.65364968542473,5.24835218071811,5.73847385372888
