"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",1,62909,62825,60163.4645728515,65663.6804762549,58707.6453626274,67119.499686479
"2",15,62685,61418,58296.5198090096,63756.1552787155,56851.4415907708,65201.2334969542
"3",15,61999,58604,55275.7563635239,60511.6731831614,53889.892895065,61897.5366516203
"4",1,60424,60543,57625.7658690455,63235.4659784191,56140.9679399735,64720.263907491
"5",15,60557,57638,57963.5786425345,63592.1229115808,56473.7929656843,65081.9085884309
"6",15,59318,60382,57766.7490722635,63499.8964531683,56249.2766241361,65017.3689012958
"7",1,59962,58618,57160.0221798835,62768.1372915361,55675.6437743667,64252.5156970529
"8",1,59472,60410,56672.8165589178,62279.9335424524,55188.7023419554,63764.0477594147
"9",1,60039,61607,57237.7139524849,62843.5169560525,55753.9475250114,64327.283383526
"10",16,60830,60039,57675.4942977425,63246.2091016129,56201.0151557263,64720.6882436292
"11",1,60501,61831,57704.2542678094,63307.8820431378,56221.0635884725,64791.0727224747
"12",1,61145,62342,58346.0490680861,63948.6623379538,56863.1269121243,65431.5844939155
"13",16,61670,59430,56712.5043923206,62108.4361205199,55284.2875359406,63536.6529768998
"14",1,60627,59073,57827.795584942,63429.3714824087,56345.148004869,64912.0190624817
"15",1,59976,61999,57180.7471097619,62781.5358443676,55698.3078791128,64263.9750750168
"16",1,60970,60585,58174.0078590756,63774.558150077,56691.6317406362,65256.9342685164
"17",1,60809,62370,58011.3394708837,63610.3436993784,56529.3725704707,65092.3105997914
"18",1,61523,61915,58725.9137955153,64324.1349477548,57244.154162867,65805.894580403
"19",1,61656,60851,58859.564224149,64456.2452736521,57378.2122320714,65937.5972657298
"20",1,61243,60746,58452.0913906306,64047.3968709792,56971.1034897151,65528.3847718947
"21",1,61012,61887,58215.9227915289,63809.7182201418,56735.3345771645,65290.3064345062
"22",14,61404,62265,59142.7177126831,64785.8716857188,57649.0650807721,66279.5243176298
"23",1,61754,62132,58964.6936945742,64555.8102578303,57484.8145330393,66035.6894193653
"24",1,61866,62790,59072.9825531493,64662.5599487919,57593.5107846727,66142.0317172684
"25",1,62209,61936,59416.6595421057,65004.9312489798,57937.5333685705,66484.057422515
"26",1,61992,61313,59201.6121947716,64788.3275888032,57722.8979523629,66267.041831212
"27",1,61614,60928,58827.0166510799,64412.2998525373,57348.6814871471,65890.6350164701
"28",1,61271,60466,58482.7222244373,64066.5842760206,57004.7632161543,65544.5432843035
"29",14,60907,59381,57283.1908937473,62785.5429423721,55826.8062800366,64241.9275560828
"30",1,60256,60053,57465.3477782056,63047.0437695234,55987.9620914432,64524.4294562858
"31",14,60242,61054,58326.9865301643,63991.5738133132,56827.6608437497,65490.8994997279
"32",1,60683,61873,57896.7023578551,63475.4714661511,56420.0913702324,64952.0824537737
"33",1,61250,60627,58464.0230386665,64041.6843417947,56987.7052693598,65518.0021111014
"34",16,60963,63378,59207.2998343798,64882.3221828642,57705.2121530104,66384.4098642336
"35",1,62048,62146,59261.6731970327,64838.2514679108,57785.6420890468,66314.2825758968
"36",1,62006,60081,59224.2604991549,64799.2692406949,57748.6448204905,66274.8849193592
"37",1,61075,60802,58292.750255806,63867.4272935817,56817.2223738247,65342.955175563
"38",1,60963,61362,58178.4776632818,63751.6073504266,56703.3593402729,65226.7256734355
"39",1,61159,62846,58373.3835352666,63944.9969398822,56898.6665480003,65419.7139271486
"40",1,61901,62027,59122.0847971004,64693.0739909301,57647.533028449,66167.6257595816
"41",1,61894,60375,59110.6049452048,64680.0277619859,57636.4677715144,66154.1649356762
"42",1,61152,63273,58374.453761678,63943.0834304182,56900.5265215928,65417.0106705034
"43",1,62097,61607,59314.8925848818,64883.4357056365,57840.9882526647,66357.3400378536
"44",1,61796,63245,59018.5891159769,64585.6490282046,57545.0773653428,66059.1607788388
"45",1,62384,59402,59606.9903307989,65173.1771769357,58133.7096668002,66646.4578409344
"46",15,60963,59010,56360.4832312995,61753.7254305616,54932.9782502279,63181.2304116331
