"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2026.808",8586,8200.08300210362,8981.05218503113,7993.37294579558,9187.76224133917
"2026.827",8477,8395.2705978535,9176.07830931783,8188.6032804601,9382.74562671122
"2026.846",8428,8368.8232441092,9149.50671296986,8162.18881174655,9356.14114533251
"2026.865",8578,8141.43984427104,8921.97658110327,7934.84424953033,9128.57217584398
"2026.885",8395,7988.09908648894,8768.42982381433,7781.5580165241,8974.97089377918
"2026.904",8787,8265.68148607813,9045.87608213858,8059.17645052943,9252.38111768728
"2026.923",8664,8171.8594389021,8952.01522253977,7965.36467638117,9158.5099850607
"2026.942",8489,8149.57645874214,8929.52302413975,7943.13707294429,9135.9624099376
"2026.962",8882,8208.012918221,8987.82219506462,8001.60987050838,9194.22524277725
"2026.981",8752,8546.1449533845,9325.92953419396,8339.74844231727,9532.32604526119
"2027.000",8740,8257.52365461982,9037.09981166117,8051.18230999166,9243.44115628934
"2027.019",8763,8481.65448099715,9261.02194254292,8275.36837472997,9467.3080488101
"2027.038",8752,8350.09728457202,9129.25709246997,8143.86614090538,9335.48823613662
"2027.058",8521,8346.25148840949,9125.20276677924,8140.07553917491,9331.37871601381
"2027.077",8531,8417.97847662252,9196.84119785934,8211.82596704515,9402.9937074367
"2027.096",8556,8400.54273993926,9179.22900306761,8194.43693600192,9385.33480700495
"2027.115",8526,8157.59093945951,8936.07482497643,7951.53870164024,9142.1270627957
"2027.135",8633,8413.94962992942,9192.23645516722,8207.94955081537,9398.23653428128
"2027.154",8611,8316.85464270964,9094.94085941291,8110.90766146727,9300.88784065528
"2027.173",8637,8195.50038096142,8973.37889323169,7989.60837576161,9179.2708984315
"2027.192",8812,8408.63017568729,9186.30199169417,8202.79287968367,9392.13928769779
"2027.212",8953,8657.57135042169,9435.10315472017,8451.77111327873,9640.90339186313
"2027.231",9052,8619.05553661221,9396.49897837019,8413.27868762094,9602.27582736145
"2027.250",8856,8441.66538730318,9219.01793459288,8235.91259662442,9424.77072527164
"2027.269",8747,8457.84636362718,9235.0004932197,8252.14609094049,9440.70076590639
"2027.288",8831,8149.28380984358,8926.26711372278,7943.62875199198,9131.92217157438
"2027.308",9140,8494.01581719757,9270.79353530204,8288.41517461357,9476.39417788604
"2027.327",9407,8600.70232031097,9377.51791892195,8395.09165136254,9583.12858787039
"2027.346",9018,8872.83069883534,9649.90959946924,8667.15033805121,9855.58996025337
"2027.365",8933,8551.76354374351,9328.66607509021,8346.12986508985,9534.29975374388
"2027.385",9102,8646.13220855668,9422.8585442903,8440.54516606471,9628.44558678227
"2027.404",8996,8690.79645111225,9467.35503049682,8485.25381104373,9672.89767056534
"2027.423",9036,8633.86582524358,9410.2192183533,8428.37749470142,9615.70754889546
"2027.442",9083,8315.1891645679,9091.34341171515,8109.75354477799,9296.77903150506
"2027.462",9061,8763.23717089651,9539.20632117897,8557.85054328732,9744.59294878816
"2027.481",9076,8573.22376299496,9348.99327474636,8367.88997651305,9554.32706122828
"2027.500",8953,8468.72375134268,9244.29639638343,8263.4420723315,9449.5780753946
"2027.519",8895,8563.73125432304,9339.11003326512,8358.50088856858,9544.34039901958
"2027.538",9094,8408.27049635883,9183.4575016879,8203.09089001359,9388.63710803314
"2027.558",8961,8487.72772700494,9262.77610010825,8282.58481439335,9467.91901271983
"2027.577",8872,8547.98159145171,9322.82717122014,8342.89235499353,9527.91640767832
"2027.596",8914,8542.62871590193,9317.28718133052,8337.58900561787,9522.32689161458
"2027.615",8908,8373.6212752733,9148.07571196496,8168.63556813382,9353.06141910445
"2027.635",9066,8722.30495464883,9496.55558953484,8517.37319058884,9701.48735359482
"2027.654",9099,8761.21854858353,9535.32914361847,8556.32385083312,9740.22384136889
"2027.673",8912,8945.08629896131,9719.03397960669,8740.23472204508,9923.88555652292
"2027.692",8878,8709.10068872431,9482.86648892407,8504.29725265407,9687.66992499432
"2027.712",8916,8751.69331978573,9525.26769196899,8546.94055165083,9730.02046010388
"2027.731",8930,8479.50022613163,9252.87150938128,8274.8012123904,9457.57052312251
"2027.750",8850,8807.83863913372,9581.00846856626,8603.19294699696,9785.65416070302
"2027.769",9139,8781.98746442314,9554.96218904589,8577.39341341013,9759.5562400589
"2027.788",8854,8538.75715225295,9311.6829019253,8334.17606412629,9516.26399005197
"2027.808",8821,8859.05901404396,9631.82256104355,8654.52085837142,9836.36071671609
"2027.827",8761,8512.38521000602,9284.96624476491,8307.89536240552,9489.45609236541
"2027.846",8776,8579.09484023911,9351.49857773597,8374.65192038918,9555.94149758591
"2027.865",8842,8686.52713041645,9458.73260919661,8482.136686479,9663.12305313406
"2027.885",8745,8477.47147577658,9249.47866028543,8273.13351716235,9453.81661889967
"2027.904",8665,8363.97732824395,9135.7961867082,8159.68921652269,9340.08429842946
"2027.923",8828,8371.27256686283,9142.92436907946,8167.02867225937,9347.16826368293
"2027.942",8793,8357.74303533766,9129.21085530706,8153.54783789346,9333.40605275125
"2027.962",8902,8605.06725483428,9376.3338190313,8400.92532657529,9580.47574729029
"2027.981",8703,8269.30134416718,9040.39229962702,8065.20589673322,9244.48774706098
"2028.000",8623,8710.9275687417,9481.86231800898,8506.87346658944,9685.91642016125
"2028.019",8844,8275.98592630214,9046.77540151443,8071.97027586953,9250.79105194704
"2028.038",9058,8500.62505479177,9271.25056009586,8296.65280457226,9475.22281031537
"2028.058",9130,8633.23074109359,9403.82345826944,8429.2671693674,9607.78702999563
"2028.077",9024,8856.06827568549,9626.57054718941,8652.12864348258,9830.51017939233
"2028.096",9001,8812.00205903808,9582.30563960719,8608.11501714888,9786.1926814964
"2028.115",8771,8726.45186640608,9496.55415221428,8522.61810402172,9700.38791459864
"2028.135",8867,8340.07159627559,9110.07470209502,8136.26408524853,9313.88221312208
"2028.154",8881,8751.4252975474,9521.22872669182,8547.67063774371,9724.98338649552
"2028.173",8786,8643.32431800323,9412.92848341235,8439.62240012437,9616.63040129121
"2028.192",8872,8366.01851452058,9135.4392362613,8162.36515124778,9339.09259953409
"2028.212",8808,8510.93951766618,9280.16502292398,8307.33782507523,9483.76671551494
"2028.231",8734,8428.6813969297,9197.71128866877,8225.13148010962,9401.26120548886
"2028.250",8838,8140.6179149305,8909.46917109225,7937.11528009164,9112.97180593111
"2028.269",8884,8479.52760321713,9248.18506941973,8276.07626148207,9451.63641115479
"2028.288",8710,8342.65012567935,9111.11968613657,8139.24851959079,9314.52129222513
"2028.308",8631,8352.08012564742,9120.39261511582,8148.72009373829,9323.75264702494
"2028.327",8683,8478.85215373159,9247.01944780955,8275.53055272088,9450.34104882027
"2028.346",8548,8506.04052366799,9274.01301452373,8302.77048395561,9477.2830542361
"2028.365",8298,8277.03539804096,9044.87155635764,8073.80144337194,9248.10551102665
"2028.385",8704,8169.5778522998,8937.49276686457,7966.3230521111,9140.74756705327
"2028.404",8657,8189.46649145969,8957.26499193458,7986.24250421932,9160.48897917496
"2028.423",8661,8316.7154806737,9084.31829518528,8113.54328837911,9287.49048747986
"2028.442",8649,8503.71873446384,9271.12383227798,8300.5988746179,9474.24369212392
"2028.462",8530,8229.41089140665,8996.61949659563,8026.34304001699,9199.68734798529
"2028.481",8523,8433.24324795582,9200.3005286577,8230.21544973847,9403.32832687505
"2028.500",8787,8392.59753871756,9159.47939912116,8189.61617144848,9362.46076639024
"2028.519",8601,8185.41282050228,8952.17880951211,7982.46212253854,9155.12950747585
"2028.538",8474,8338.60567121195,9105.19529445612,8135.70165444658,9308.09931122149
"2028.558",8457,8199.70418777706,8966.17659182967,7996.83119705756,9169.04958254917
"2028.577",8485,8075.9961778207,8842.31206107065,7873.16461565515,9045.1436232362
"2028.596",8697,8184.67549872372,8950.80391719524,7981.89355548777,9153.5858604312
"2028.615",8460,8291.14332229377,9057.12753318662,8088.39954849826,9259.87130698214
"2028.635",8557,8297.52123762635,9063.37415698892,8094.81221459975,9266.08318001551
"2028.654",8657,8195.94986623089,8961.60705931744,7993.29264882021,9164.26427672812
"2028.673",8496,8241.73511893449,9007.20767395571,8039.12677226765,9209.81602062254
"2028.692",8425,7993.58221396311,8758.90005801853,7791.01481681535,8961.46745516629
"2028.712",8580,8030.84840076901,8796.02506903626,7828.3183705952,8998.55509921007
"2028.731",8319,8123.62707848075,8888.61384721572,7921.14731167697,9091.0936140195
"2028.750",8441,8152.57249080223,8917.50348761602,7950.10748593428,9119.96849248397
"2028.769",8591,8007.56549277275,8772.30478146721,7805.15122997889,8974.71904426108
"2028.788",8581,8259.28607255564,9023.8542666655,8056.91709576279,9226.22324345835
"2028.808",8788,8224.69189345755,8989.06691490629,8022.37404637959,9191.38476198424
"2028.827",8777,8244.35326490707,9008.62578636778,8042.06254793714,9210.91650333771
"2028.846",8654,8312.38559394205,9076.4821416688,8110.14145440597,9278.72628120488
"2028.865",8671,8411.01807184963,9174.93248896821,8208.82213937356,9377.12842144428
"2028.885",8631,8531.76479676671,9295.48606658467,8329.619987293,9497.63087605837
"2028.904",8754,8163.33214968652,8926.86657873992,7961.23679397592,9128.96193445053
"2028.923",8740,8352.46230458231,9115.81904922958,8150.41397909313,9317.86737471875
"2028.942",8733,8354.10720502839,9117.27201123983,8152.10968257439,9319.26953369383
"2028.962",8752,7982.78025955658,8745.75057956579,7780.83421449079,8947.69662463157
"2028.981",8495,8451.43027430955,9214.20864290334,8249.53503571444,9416.10388149845
"2029.000",8776,8215.10817244083,8977.82245802537,8013.22989559369,9179.70073487251
