"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",15,62909,59073,57330.0901739681,62571.2756003257,55942.8321895467,63958.5335847471
"2",1,61019,62671,58219.356404898,63832.6171356548,56733.6160362743,65318.3575042785
"3",15,61775,59563,56934.8297350689,62353.7905254117,55500.5174541363,63788.1028063442
"4",1,60746,59801,57944.1242897602,63556.7135696419,56458.5616434478,65042.2762159543
"5",15,60368,58002,53482.1341614925,58695.1053569104,52102.3440329017,60074.8954855013
"6",15,59395,57995,55538.5831076472,61045.570804328,54080.9715120123,62503.1823999628
"7",16,58933,55972,54307.6349506396,59736.144995011,52870.7951348424,61172.9848108081
"8",1,57806,56798,55006.7403669147,60618.6954673188,53521.3455777706,62104.090256463
"9",1,57645,57680,54843.9286770631,60454.6204503626,53358.868270405,61939.6808570208
"10",1,57953,57365,55153.9882480873,60763.0770339501,53669.3521265747,62247.7131554628
"11",1,57953,60123,55151.6918783751,60759.2953944893,53667.4488840179,62243.5383888466
"12",1,59171,58156,56373.7610105051,61981.3282468089,54889.5276188336,63465.5616384805
"13",1,58863,60893,56063.061286433,61669.3767768385,54579.1592118873,63153.2788513841
"14",1,59934,60844,57133.1028672368,62739.1828211902,55649.2631354242,64223.0225530028
"15",1,60410,60907,57609.7272184447,63214.4766191974,56126.2396627911,64697.9641748511
"16",6,60655,61901,58162.9943359409,63795.7888338947,56672.083691453,65286.6994783826
"17",1,61215,61978,58416.2205689611,64018.3737015862,56933.4202039707,65501.1740665766
"18",1,61509,60844,58712.5474715239,64313.2921662748,57230.1198975202,65795.7197402785
"19",1,61145,60851,58346.4195224828,63945.7235522763,56864.3732694595,65427.7698052996
"20",1,60977,59416,58180.7993244598,63778.5404490022,56699.1667474681,65260.1730259938
"21",1,60263,58471,57465.893117024,63062.8581179129,55984.4659675545,64544.2852673825
"22",14,59507,60123,56614.7554530181,62201.7027730241,55135.9798235121,63680.4784025301
"23",1,59885,59493,57094.0119358157,62688.9953202858,55613.1092885294,64169.8979675721
"24",14,59780,61341,58731.0687678247,64495.4164673545,57205.3380941989,66021.1471409803
"25",16,60557,60781,57368.0788117873,62922.5358355686,55897.9028442255,64392.7118031305
"26",1,60662,60823,57872.6881807034,63463.7853788562,56392.8141448016,64943.659414758
"27",1,60732,60543,57943.0799034805,63532.5977991467,56463.6238836965,65012.0538189308
"28",1,60641,60487,57852.0104739305,63439.9515438635,56372.9718147071,64918.9902030869
