394500,-1.9919883102558118
789000,-1.997612383155193
1183500,-1.9985991176658662
1578000,-1.9931177459823488
1972500,0.23059512476811003
2367000,0.1860299083561631
2761500,0.2126425778560021
3156000,0.20316876246910143
3550500,0.20446601945579967
3945000,0.2087560985563237
394500,-1.993928273614187
789000,-1.9929288282795679
1183500,0.20678079853247625
1578000,0.23645148258709864
1972500,0.23752742303325675
2367000,0.20859890401167816
2761500,0.28120775845980833
3156000,0.26814969798042654
3550500,0.26040123385832975
3945000,0.26025928474290005
